source_doc_id,cited_doc_id,type_of_reference,details
R1-2404977,38.213,Normative,Clause 10.1 for PDCCH reception rules
R1-2402495,RP-234039,WID Citation,New WID on AI/ML for NR Air Interface approved at RAN#102.
R1-2405406,TS 38.214,Technical Specification Update,Base specification being modified by this CR
R1-2408766,R1-2408960,Implementation CR,Draft CR on Multi-Resource SRS Power Scaling Near Pcmax
R1-2404797,RP-234065,Work Item Documentation,Original Network Energy Saving WID (superseded by RP-240170)
R4-2321823,R4-2321730,Previous version,Previous LS on RAN4 UE feature list for Rel-18
R1-2400275,RP-213598,Work Item Description,New WID on MIMO Evolution for Downlink and Uplink
R1-2401083,RP-234078,Work Item Description,Rel-19 WID for NR NTN Phase 3 enhancements
R1-2400462,38.106,Technical Specification,NR Repeater radio transmission and reception
R1-2408413,RP-234065,Citation,Rel-19 WID for Network Energy Savings enhancements
R1-2404328,38.901,Technical Specification,3GPP channel model baseline for communication systems
R1-2407497,38.321,Technical Specification,Referenced for configured grant transmission rules.
R1-2403443,TR 38.901,Technical Report,Base channel model document being validated
R1-2400239,RP-234007,Citation,Rel-19 MIMO Work Item Description
R1-2403891,RP-240826,Citation,"Revised SID: Study on solutions for Ambient IoT in NR, approved at RAN#103."
R1-2405216,TR 38.848,Technical Report,Study on Ambient IoT deployment scenarios and design targets
R1-2408796,R1-2407517,Meeting Summary,FL summary on LP-WUS CONNECTED mode operation.
R1-2408943,RAN1 #116bis Chairman's Notes,Citation,Agreement on L1 D2R control information
R1-2409722,RP-234077,Citation,New WID for NTN IoT Phase 3 approved at RAN#102
R1-2402117,TR 36.777,Citation,Defines UAV evaluation parameters for aerial vehicles.
R1-2400224,RAN1#115 Chairman Notes,Previous Meeting Conclusions,References agreements from RAN1#115 on NTN coverage enhancements
R1-2408091,38.133,Technical Specification,Clause 9.1.8.3 defining measurement gap priorities
R1-2409444,R1-2408538,Companion Document,Discusses LP-RSRQ measurement metrics
R1-2409002,ITU M.2135-1,ITU Reference,Guidelines for evaluation of radio interface technologies
R1-24XXXXX,R1-2407661,Contribution,Huawei's proposal on network-configured priority rules
R1-2400178,TR 38.858,Technical Report,Study on Evolution of NR Duplex Operation v2.0.0
R1-2406597,RAN1#117,Previous Meeting,Chairman Notes from RAN1#117 meeting
R1-2402422,38.212,Technical Specification,Referenced for DAI field definitions
R1-2400923,TR 38.843,Technical Report,Rel-18 Study on AI/ML for NR positioning
R1-2400168,TR22.837,Technical Report,Describes integrated sensing use cases and requirements
R1-2404338,RAN1#116bis Chairman's Notes,Previous Meeting Agreement,References agreements from RAN1 #116bis on 3TX codebook baseline
R1-2405237,3GPP TR 38.843,Technical Report,Rel-18 study item on AI/ML for NR air interface
R1-2404720,R1-2404719,Companion CR,Draft CR on clarifying BWP switch delay units.
R1-2404803,RAN1 #116_bis Chairman's Notes,Meeting Agreement,Previous agreements on midamble study options for A-IoT
R1-2400758,RP-234039,Work Item Dependency,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2407500,R1-2407177,Contribution,Ericsson/Nokia paper on SRS Tx Occasion and Power Scaling
R1-2401095,RAN1#97-e,Meeting Note,Agreements on cross-carrier scheduling constraints.
R1-2405606,21.900,Technical Report,3GPP change request categorization guidelines
R1-2404817,RP-234035,Work Item Description,WID revision for NR duplex operation enhancements
R1-2401718,R1-2400922,Contribution,Work Plan for Rel-19 on XR by Nokia/Qualcomm
R1-2402515,RP-234058,Technical Report,Study on solutions for Ambient IoT in NR systems
R1-2406271,TR 38.843,Technical Report,Base document for AI/ML CSI enhancement studies
R1-2402811,TR 38.821,Technical Report,Solutions for NR to support non-terrestrial networks.
R1-2400673,TR 36.777,Technical Report,Study on Enhanced LTE Support for Aerial Vehicles
R1-2409106,RP-241771,Work Item Description,Revised WID on XR for NR Phase 3
R1-2400436,TR 38.848,Technical Report,Base document for Ambient IoT study objectives and requirements
R1-2410289,RAN1#116B,Prior Agreement,Agreements on end-of-PRDCH transmission detection.
R1-2410598,38.331,Technical Specification,NR Radio Resource Control protocol
R1-2408777,38.843,Technical Report,Study on AI/ML for NR air interface.
R1-2406319,22.369,Technical Specification,Base document for Ambient IoT requirements
R1-2403344,38.214,Technical Specification,3GPP TS 38.214 v15.16.0 - Physical layer procedures for data
R1-2404844,TR 21.900,CR Category Reference,Defines CR categories (F/A/B/C/D)
R1-2405180,38.869,Technical Report,Study on low-power wake-up signal and receiver for NR
R1-2400222,R4-2321960,LS,LS on UE capabilities for MPR reduction from RAN WG4
R1-2404478,RP-234039,Citation,New WID on AI/ML for NR Air Interface approved in RAN#102
R1-2409763,RP-241614,Technical Report,Revised WID on NR Duplex Evolution
R1-2404943,3GPP TR 38.869,Technical Report,Study on NR wake-up signal receiver
R1-2402986,38.321,Normative,MAC protocol specification for TCI state ID signaling
R1-2401859,38.213,Technical Specification,NR Physical layer procedures for control (Clause 4.2)
R1-2407781,38.214,Technical Specification,3GPP specification for physical layer procedures
R1-2405854,TR 38.848,Technical Report,Study on Ambient IoT in RAN
R1-2408377,38.213,Technical Specification,k_SSB parameter definitions for SSB configuration
R1-2401657,38.214,Clause Update,Target specification for SRS carrier switching corrections.
R1-2408083,RP-234007,Work Item Description,NR MIMO Phase 5 WID approved in RAN#102
R1-2405869,RP-234056,Work Item Description,Defines objectives for LP-WUS in Rel-19.
R1-2405047,"M. S. Trotter and G. D. Durgin, 2010 IEEE RFID",External Research,Survey on power-optimized waveforms for RFID range improvement.
R1-2409603,RP-242354,WID,Revised WID for Rel-19 network energy savings
R1-2405532,R1-2405316,Contribution,Proposal on DCI ordering issues by Huawei
R1-2405063,R1-2403834,Citation,RAN4 LS requesting RAN1 to consider 3T6R/4T6R SRS antenna switching in Rel-19.
R1-2410865,R1-2410864,Change Request,Mirror CR for TS 38.214v18.4.0
R1-2406811,TR 38.848,Citation,"Study on Ambient IoT in RAN, covering use cases and KPIs"
R1-2402348,RAN1#113 Chair's Notes,Meeting Agreement,Agreement on 4-step RACH early indication for eRedCap
R1-2403146,RAN1#114,Meeting Report,Agreements on performance monitoring mechanisms.
R1-2402187,R1-2402184,Companion Contribution,Provides evaluation methodology for Ambient IoT
R1-2410192,R1-2401573,Meeting Document,RAN1 #116 summary on AI/ML model aspects.
R1-2410820,R1-2409431,Contribution,Huawei's proposal for Rel-19 MIMO UE capabilities
R1-2403562,R1-2402021,Contribution,Maintenance of Rel-18 MIMO by Huawei/HiSilicon
R1-2402357,38.331,Technical Specification,Radio Resource Control protocol specification
R1-2410531,38.214,Technical Specification,Physical layer procedures for data
R1-2405578,RP-240774,Work Item,NR_AIML_air Rel-19 Work Item Description
R1-2408814,38.321,MAC Protocol,NR Medium Access Control (MAC) protocol specification
R1-2400412,38.213,Physical Layer Procedures,NCR control plane parameter definitions
R1-2409864,TR 22.840,Technical Report,SA1 study on ambient IoT use cases including automated warehousing and logistics.
R1-2407573,38.331,Technical Specification,NR Radio Resource Control protocol
R1-2401258,3GPP TR 38.848,Technical Report,RAN study on Ambient IoT system characteristics
R1-2401152,TR 38.843,Technical Report,Study on AI/ML for NR air interface (Rel-18)
R1-2410805,38.214,Technical Specification,Layer configuration rules for CG-PUSCH (Clause 6.1)
R1-2409711,R1-2408321,Previous contribution,KT Corp's prior work on UL WUS beam operations
R1-2410425,RAN 1 #118 bis,Prior Agreement,Previous agreements on Direction A evaluation methodology
R1-2402723,RP-234007,Citation,New WID: NR MIMO Phase 5 for Release 19
R1-2400246,R1-2400245,Companion document,Discusses Ambient IoT device architectures
R1-2408736,36.211,Technical Specification,E-UTRA Physical channels and modulation
R1-2404638,R1-2403827,Liaison Statement,RAN2 LS on Sidelink Feature Co-configuration agreements
R1-2410434,RAN1#118-bis,Previous Conclusion,Clarification on semi-static collision components
R1-2402619,R1-2402128,Work Plan,Work plan for 7-24 GHz channel modeling study
R1-2409843,RAN1#118bis,Previous Meeting,Chairman notes from RAN1#118bis meeting
R1-2401418,R1-2400008,Liaison Statement,LS from RAN2 regarding SL-PRS prioritization and resource allocation.
R1-2407760,RAN1 #116-bis,Citation,Coverage evaluation agreements for A-IoT.
R1-2402805,RP-232763,Work Item Description,Study on NR Duplex Operation
R1-2406221,R2-2405766,Liaison Statement,Original LS from RAN2 seeking RAN1's view on RACH during T390.
R1-2408670,RP-240826,Citation,Revised SID on Study on solutions for Ambient IoT in NR
R1-2405545,R1-2404213,Contribution,ZTE's discussion on channel model adaptation with measurement results
R1-2406522,38.211,Normative,Table 7.4.1.5.3-1 for port numbering
R1-2405489,TR 38.843,Technical Report,Base document for AI/ML CSI prediction study objectives
R1-2410779,R1-2409350,Liaison Statement,RAN4 LS on SSB relation in on-demand SSB and SSB adaptation.
R1-2400547,RP-234039,Citation,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2406364,TS 38.214,Technical Specification,NR physical layer procedures for data
R1-2406802,RAN1#117,Meeting Notes,RAN1 Chairman's Notes from Meeting #117
R1-2406893,3GPP 38.901,Technical Specification,Channel model for coherence bandwidth analysis
R1-2401593,R1-2401071,Change Request,Specifies timeline for SRS transmission in RRC_INACTIVE.
R1-2409733,R1-2404520,Contribution,InterDigital's prior work on AIoT downlink/uplink channels.
R1-2409884,RAN1 #118 Chairman Note,Meeting Note,Agreements on NTN Redcap collision cases
R1-2400989,R1-2310335,Previous Meeting Summary,FL summary #3 on SL positioning reference signal from RAN1 #114bis
R1-2407162,RP-234080,Work Item Definition,New WID for XR enhancements in Rel-19
R1-2405945,TR 38.843,Technical Report,Study on AI/ML for NR air interface (Rel-18)
R1-2406319,R1-2405796,Liaison Statement,SA2's original query on Ambient IoT requirements
R1-2407644,R1-2405433,Technical Report,RAN1#117 FL Summary on RF Energy Harvesting
R1-2401758,R1-2401506,Moderator Summary,FL Summary #1 for AI 8.2: Co-channel coexistence for LTE/NR sidelink
R1-2407504,R1-2400007,Previous LS,RAN2 inquiry about UL Tx switching configuration
R1-2404642,R1-2403573,LS Reply,RAN1 agreement on IUC implementation
R1-2407899,RP-241621,Citation,Moderator's summary on SRS antenna switching configurations
R1-2402481,TR38.901,Baseline Specification,3GPP channel model for 0.5-100GHz frequencies
R1-2403202,RP-234065,Related Work,Enhancements of network energy savings for NR
R1-2409294,TS 38.214,Technical Specification,Specification updated by this CR (Clause 6.2.1.4)
R1-2407955,RP-240791,Work Item Description,Revised Rel-19 XR Phase 3 objectives including RRM measurement enhancements.
R1-2402948,RP-240826,Technical Report,Revised SID on Ambient IoT objectives and scope for Rel-19.
R1-2410523,"Chairman’s Notes, RAN1 #118-bis",Citation,Referenced for prior agreements on SSB/PRACH adaptation mechanisms.
R1-2404617,R1-2402126,Contribution,InterDigital's analysis on CLI handling
R1-2408722,RP-242356,Work Item Description,Revised Work Item: NR mobility enhancements Phase 4
R1-2410787,R1-2410617,Change Request,Ericsson's proposed spec correction for SRS validation
R1-2404648,Chairman’s notes for RAN1#116b,Meeting Report,Agreements on on-demand SSB scenarios and TX behavior.
R1-2410661,R1-2409579,Contribution,Samsung's proposal on UE STxMP capabilities
R1-2401087,R1-2400007,Citation,LS from RAN2 on UL Tx switching configuration
R1-2404611,RP-234007,Work Item,New WID: NR MIMO Phase 5 (RAN-102 approval)
R1-2405761,38.331,Parameter alignment,TS 38.331 v18.1.0 parameter naming convention reference
R1-2406573,Draft Report of 3GPP TSG RAN WG1 #117,Citation,Agreements on OCC methods from previous meeting.
R1-2403850,RP-234007,Work Item Description,NR MIMO Phase 5 WID approval details
R1-2410439,R1-2401767,Session Notes,March 2024 Ambient IoT discussions
R1-2409513,38.769,Technical Report,Study on ambient IoT and backscatter communications
R1-2407493,RP-234056,Work Item Description,New WID for Low-power wake-up signal and receiver for NR
R1-2410252,RP-234065,Work Item,"New WID: Enhancements of network energy savings for NR, agreed at RAN#102."
R1-2408350,RP-234007,Citation,New WID: NR MIMO Phase 5 (Dec. 2023)
R1-2400433,RP-234035,Citation,WID on Evolution of NR Duplex Operation
R1-2404534,RP-240776,WID Citation,Rel-19 Work Item Description for NTN IoT Phase 3
R1-2406554,RP-241667,Work Item Description,New WID for NTN Phase 3 enhancements
R1-2410240,R1-2407052,Citation,Qualcomm's analysis of OCC performance degradation in IoT-NTN.
R1-2407414,R1-2406401,Contribution,Draft corrections for RedCap UE BWP behavior
R1-2400689,R1-2212993,Contribution,Final Summary on evaluation on NR duplex evolution
R1-2407423,R1-2407413,Citation,LS query from RAN2 about power control parameters
R1-2408771,R1-2407589,Liaison Statement,RAN2 LS about IUC Scheme-2 and Random Selection
R1-2403338,R4-2403492,Working Document,RRM requirements for NTN enhancements
R1-2403002,38.848,Technical Report,Rel.18 Study on Ambient IoT in RAN
R1-2406498,TR38.869,Study Item Report,Study on low-power wake-up receiver techniques
R1-2407961,RAN1-117,Meeting Notes,Previous agreements on beam management
R1-2405977,TR 38.843,Technical Report,Study on AI/ML for NR air interface
R1-2403215,38.858,Technical Report,3GPP TR 38.858 Study on Evolution of NR Duplex Operation
R1-2403537,R1-2402204,Contribution,vivo's draft reply
R1-2401458,RP 234078,Citation,Rel-19 NTN work item definition and objectives
R1-2406680,38.101-1,Technical Specification,3GPP TS 38.101-1: NR User Equipment radio transmission
R1-2408372,RP-242356,Revised Work Item,NR mobility enhancements Phase 4 working item description
R1-2404643,TS 38.211,Technical Specification,Referenced for SL BWP numerology definitions
R1-2406533,3GPP TR 38.843,Technical Report,Rel-18 study outcomes on AI/ML for air interface.
R1-2403066,RP-234018,Study Item,New SID on channel modeling for 7-24GHz
R1-2405342,TR 38.821,Technical Report,Contains reference satellite payload parameters
R1-2410830,RP-191602,Report,TEI handling guidelines
R1-2405713,38.214,Normative,Defines CSI report priority values
R1-2407367,R1-2406338,Draft Change Request,Proposed CR for rate matching pattern alignment in TS 38.214
R1-2410100,RP-242408,Work Item Description,New WID for Multi-carrier enhancements in NR Phase 2
R1-2405646,RP-234018,Citation,Approved New Study Item on channel modelling enhancements
R1-240XXXX,R1-2407651,Contribution,Huawei's proposal on ISAC deployment scenarios
R1-2410200,TS 38.133,Technical Specification,RRM requirements specification
R1-2410639,R1-2410827,Text Proposal,TP for single device latency evaluation
R1-2410166,RP-240826,Revised SID,Revised Study Item Description for Rel-19 A-IoT
R1-2403282,TS 36.213,Specification Update,Proposed TP1 to standardize TA reset after GNSS reacquisition.
R1-240,RP-240799,Study Item,Revised SID on ISAC channel modeling endorsed at RAN#103
R1-2407772,RP-242415,Work Item Description,New WID on introduction of IoT-NTN TDD mode approved at RAN#105
R1-2400404,R1-115,Previous Agreement,RAN1#115 agreements on PRACH configuration baseline
R1-2402505,TR 38.843,Technical Report,Study on AI/ML for NR air interface (Release 18)
38.213 CR - rev,38.211,Technical Specification,Referenced for PSFCH physical layer structure
R1-2404358,38.214,Technical Specification,NR Physical layer procedures for data (Release 18)
R1-2400549,RP-234078,Work Item Description,NTN Phase 3 WID approval details
R1-2403465,TS 38.214,Specification Update,Multiple clauses updated for SL PRS procedures
R1-2404853,TR 38.869,Technical Report,Study on low-power wake up signal and receiver for NR (Release 18).
R1-2408724,[4],Measurement Campaign Reference,Human target measurement campaign for path clustering analysis
R1-2401390,R1-2401398,Companion CR,Proposes corrections for SRS carrier switching specifications.
R1-2410637,R1-2409390,Contribution,Ericsson's evaluation assumptions and results for Ambient IoT.
R1-2402270,38.213,Technical Specification,NR Physical layer procedures for control
R1-2404590,RAN1 Chairman’s Notes #116bis,Previous Agreement,References agreements from RAN1 #116bis meeting on CLPC configurations
R1-2401518,RP-232671,Work Item Description,Revised WID on Enhanced support of reduced capability NR devices
R1-2400409,38.214,Technical Specification,Physical layer procedures for data
R1-2400902,RP-234065,Work Item Description,"New WID: Enhancements of network energy savings for NR, approved at RAN#102"
R1-2409530,36.331,Technical Specification,E-UTRA Radio Resource Control protocol
R1-2406421,RP-240826,Technical Specification,Revised SID on Ambient IoT solutions in NR
R1-2404588,R1-2404107,Moderator Summary,Offline discussion summary on Rel-19 CSI enhancements
R1-2406973,38.213,Technical Specification,3GPP specification for physical layer procedures
R1-2410520,RP-234018,Study Item Description,New SID on channel modeling enhancements for 7-24GHz
R1-2403570,R1-2402023,Contribution,Huawei's discussion on AI/ML beam management
R1-2405961,R1-2405492,Contribution,Summary #4 of CSI prediction by LG Electronics.
R1-2402640,RP-213577,WID,New WID on Multi-carrier enhancements by NTT DOCOMO.
CR-Form-v12.1,38.213,Technical Specification,NR Physical layer procedures for control
R1-2405883,R1-2310928,Summary,Summary of Agreements in RAN1#115
R1-2402129,RP-234018,Citation,New SID on channel modeling enhancements for 7-24GHz
R1-2401591,R1-2400040,Contribution,Spreadtrum's remaining issues on Multi-Carrier Enhancements
R1-2406388,38.214,Technical Specification,NR Physical layer procedures for data (modified by this CR)
R1-2402004,R1-2401459,Contribution,Qualcomm's views on RedCap in NTN
R1-2405629,38.214,Technical Specification,NR Physical layer procedures for data (Release 18)
R1-2401378,38.331,Technical Specification,NR Radio Resource Control protocol specifications.
R1-2404485,R1-2401822,Previous meeting report,Updated RAN1 UE features list for Rel-18 LTE after RAN1#116
R1-2402491,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface by Qualcomm
R1-2405070,RAN1#116bis,Citation,Chairman's Notes from previous meeting discussing initial agreements
R1-2403533,38.213,Technical Specification,NR physical layer procedures for control channel monitoring.
R1-2407443,R1-2406996,Change Request,First UL transmission after LTM cell switch
R1-2408020,38.213,Technical Specification,Target specification for HARQ-ACK codebook procedure changes
R1-2409044,R1-2407603/R2-2407601,Liaison Statement,RAN2 input on LTM cell switch capabilities
R1-2407748,3GPP TR 38.843,Technical Report,Base document for AI/ML in NR physical layer
R1-2410354,RP-234039,Meeting Contribution,New WID on AI/ML for NR Air Interface approval
R1-2405004,R1-2403703,Citation,Updated RAN1 UE features list for Rel-18 NR after RAN1#116bis
R1-2410420,3GPP TR 38.869 V2.0.0,Citation,Study on low-power wake up signal and receiver for NR
R1-2410234,TR 22.837,Technical Report,Feasibility Study on Integrated Sensing and Communication
S2-2403444,TR 23.700-66,Technical Report,SA2's ongoing energy system study document
R1-2403326,38.214,Technical Specification,Physical layer procedures
R1-2410738,R1-2409387,Contribution,ZTE's contribution on valid codepoints for 8Tx CG-PUSCH.
R1-2404878,RP-234039,Work Item,Rel-19 WI on AI/ML for NR air interface
R1-2400621,RP-234039,Related Work,New WID on AI/ML for NR Air Interface approved at RAN#102
R1-2406517,RP-234065,Work Item Description,Rel-19 Network Energy Saving WID approved at RAN#102
R1-2400702,38.214,Normative,TS 38.214 NR: Physical layer procedures for data
R1-2404715,R1-2403846,Contribution,InterDigital's views on beam management enhancements
R1-2401917,TS 38.212,Technical Specification,Updated SCI format 2-C definitions for RB set inclusion.
R1-2405091,R1-2403787,RAN1 Summary,Summary on RedCap/NTN collision case analysis
R1-2407004,RP-234007,Work Item Description,New WID: NR MIMO Phase 5 (Dec. 2023)
R1-2408004,TS 38.214,Technical Specification,Target for PRS procedure corrections in Rel-18.
R4-2321730,R4-2321797,Attachment,Contains RAN4 UE feature list for Rel-18
R2-2401958,TS 38.331,Technical Specification,NR Radio Resource Control protocol specification
R1-2409387,RAN1#113 Chair Notes,Citation,Supports configured grant PUSCH layer limitations.
R1-2401907,38.331,Parameter Alignment,RRC parameter name alignment with TS 38.331 v18.0.0
R1-2408355,RAN1#118 Agreement,Previous Agreement,Cited for initial inventory time analysis framework.
R1-2407253,TR38.901,Technical Report,3GPP channel model specification
R1-2400453,RAN1#115 Chairman's Notes,Previous Meeting Documentation,Chairman's Notes from RAN1 #115 used as baseline
R1-2402436,38.211,Technical Specification,Defines physical channel parameters including CP extension
R1-2404237,38.213,Technical Specification,Physical layer procedures for control
R1-2402741,TR 38.869,Technical Report,Study on LP-WUS performance characteristics
38.214,TR 21.900,Informative,CR category definitions reference
R1-2410358,RAN1#118bis Report,Citation,Previous agreements on LP-WUS configuration parameters
R1-2401735,38.848,Technical Report,TR 38.848 defines Ambient IoT requirements and deployment scenarios
R1-2404910,R1-2403703,UE features list,Updated RAN1 UE features list for Rel-18 NR
R1-2406095,38.133,Technical Specification,Radio resource management requirements
R1-2407040,R1-2405732,Meeting Summary,Final summary of LP-WUS/LP-SS discussions
R1-2405191,38.213,Technical Specification,Base specification being modified by this CR
R1-2405176,RP-240791,Related Work,Revised WID on XR (eXtended Reality) for NR Phase 3
R1-2401097,R1-2312282,Contribution,FL summary on Rel-18 RedCap UE complexity reduction
R1-2409035,R1-2408127,Change Request,OPPO's proposed CR for per-carrier CSI-RS configuration in SL CA.
R1-2401999,RP-240801,Work Item Description,Revised WID for LP-WUS/WUR specifications.
R1-2410159,RP-241771,Citation,"Revised WID on XR for NR Phase 3, defining objectives."
R1-2408976,38.331,Technical Specification,Defines atg-gNB-Location IE used for gNB positioning
R1-2406769,RAN2-125bis,Meeting Report,Agreements on L1 LTM measurement event configuration
R1-2410070,R2-2409258,Liaison Statement,Original LS from RAN2 about CBR parameter mismatches
R1-2408875,R1-2407250,Feature Lead Summary,Summary of physical layer design discussions for Ambient IoT
R1-240XXXX,TS 38.213,Technical Specification,Endorsed TP#2 for channel access procedures.
R1-2404153,TS38.214,Technical Specification,NR physical layer procedures (Release 18)
R1-2408623,TR 21.900,Informative,CR categorization guidelines
R1-2400818,TR 38.901,Technical Report,Base channel model for frequencies 0.5-100 GHz
R1-24xxxxx,R1-2409253,Change Request,Endorsed CR for TS38.214 PUCCH/SRS rules
R1-2406023,RP-241650,Citation,Revised WID for NR network energy savings enhancements.
R1-2400037,Draft Report RAN1#115,Citation,Base document for current discussions
R1-2410134,RP-241650,Work Item Document,Revised WID for Rel-19 Network Energy Savings enhancements
R1-2404940,RP-240826,Citation,"Revised SID on Ambient IoT in NR, Rel-19."
R1-2402883,RP-240826,Normative,Revised SID for Ambient IoT study in Rel-19
R1-2410830,R1-2409401,Contribution,Enhancement of SRS beamforming for FR2 positioning
R1-2410025,R1-2407479,Session Notes,Previous agreements on Ambient IoT device architecture
R1-2401789,R1-2400078,Contribution,Ericsson's views on frame structure and coexistence.
R1-2410222,R1-2405656,Citation,Summary on SBFD random access operation from RAN1#117
R1-24xxxxx,RP-234018,Scope Definition,Defines scope of Work Item for channel modeling enhancements
R1-2410919,R1-2409284,Final FL Summary,Previous meeting conclusions on NR mobility enhancements
R1-2409259,R1-2407610,Contribution,Discussion on physical layer design for Rel-19 Ambient IoT devices
R1-2405384,R1-2405197,Draft CR,ZTE's configuration restrictions proposal
R1-2403392,TS 38.213,Technical Specification,NR Physical layer procedures for control
R1-2404173,RP-234007,Technical Report,"NR MIMO Phase 5, Samsung (Moderator)"
CR-0599,TS 38.212,Normative,DCI format specifications for PUSCH scheduling
R1-2400301,3GPP TS 38.213,Technical Specification,Physical layer procedures for control
R1-2400882,TR 38.901,Technical Report,3GPP channel model for frequencies 0.5–100 GHz.
R1-2400580,TS 38.214,Specification Amendment,NR physical layer procedures for data
R1-2407301,RP-240801,Revised WID,Low-power wake-up signal and receiver for NR (LP-WUS/WUR)
R1-2403681,38.213,Technical Specification,Physical layer procedures for control channel
R1-2400781,TR 38.843,Technical Report,Rel-18 Study on AI/ML for NR air interface
R1-2405394,R1-2403727,Change Request,Previous CR addressing PSFCH power control
R1-2410868,RAN1#115 Agreement,Technical Basis,Previous agreement on DCI format 1_3 handling
R1-24017389,3GPP TR 21.900,Normative,Referenced for CR categorization guidelines
R1-2406514,3GPP TR 38.858,Technical Report,Study on NR duplex operation enhancements (Rel-18).
R1-2410500,RP-242408,Work Item,New WID: Multi-carrier enhancements for NR Phase 2
R1-2402918,TR38.843,Technical Report,"Study on AI/ML for NR air interface, evaluation results for beam management use cases."
R1-2400364,RP-234058,Citation,Approval of Study Item 'Study on solutions for Ambient IoT in NR' at RAN#102
R1-2401266,RP-234058,Citation,Rel-19 SID on Ambient IoT solutions in NR
R1-2406458,RP-241515,Work Item,Revised Work Item for NR mobility enhancements Phase 4
R1-2400680,38.133,Technical Specification,NR UE Radio Transmission Requirements
R1-2408012,38.213,Technical Specification,Modified clauses 7.3.1 for SRS power control procedures
R1-2402021,Draft Minutes report RAN1#115,Citation,Basis for agreements on NTA offset and DL timing rules in inter-cell mTRP
R1-2400228,R1-23112572,RAN1 Feature List,Updated UE features list for Rel-18 NR positioning
R1-2404563,R1-2404564,Companion contribution,Discussion on LP-WUS operation in IDLE/INACTIVE mode
R1-2405717,38.213,Technical Specification,NR Physical Layer Procedures specification
R1-2401109,RP-234039,Technical Report,New WID on AI/ML for NR Air Interface approved at RAN#102.
R1-2408765,RAN1 #116 chairman's note,Previous agreement,References agreements on A-IoT study items
R1-2408297,R1-2407589,Citation,LS on IUC Scheme-2 and Random Selection from RAN2
R1-2401887,38.213,Technical Specification,Base specification being modified by this CR
R1-2401046,RP-234007,Work Item,Rel-19 NR MIMO Phase 5 Work Item description
R1-2402900,RP-233985,Citation,High-level considerations for 6G timeline
R1-2408076,RAN1#118,Previous Agreement,Chairman notes from RAN1 #118 meeting
R1-2400864,RP-234056,Work Item,Approved Release 19 work item on LP-WUS/WUR.
R1-2410864,TS38.214,Technical Specification,3GPP NR Physical layer procedures for data
R1-2407036,TR38.858,Technical Report,Study on NR duplex operation and beam nulling techniques
R1-2402533,RP-234035,Work Item Citation,New WID for Evolution of NR duplex operation
R1-2404681,38.213,Technical Specification,3GPP TS 38.213: NR Physical layer procedures for control
R1-2406815,RP-234056,Work Item Description,WID for Low-power wake-up signal and receiver in NR
R1-2408553,RP-234078,Work Item Description,New WID for NR NTN Phase 3 approved at RAN#102
R1-2404802,[2],Normative Reference,Approved WID for AI/ML in NR air interface from RAN#102
R1-2403105,RP-234056,Work Item Description,New WID for low-power wake-up signal and receiver
R1-2407245,38.101-1,Citation,UE transmission power requirements
R1-2404537,arXiv:2312.15174,Research Paper,Overview of 5G-Advanced evolution in Release 19
R1-2406565,R1-2406564,Companion Contribution,Draft CR for TS 38.214 alignment
R1-2404501,RP-240826,Citation,Study on solutions for Ambient IoT in NR (RANP#103)
R1-2403286,TR38.835,Technical Report,Study on XR enhancements for NR
R1-2409216,R1-2409262,Liaison Statement,Final LS on time period for R18 preamble repetition
R1-240XXXX,TR 38.848,Baseline TR,Previous study on NR light/sRedCap devices
R1-2408282,RP-234056,Work Item Description,New WID for Low-power wake-up signal and receiver for NR
R1-2405801,EPC Gen2 UHF RFID Standard,External Specification,RFID technical baseline for clock rate analysis
R1-2402776,TS 38.306,Technical Specification,User Equipment radio access capabilities
R1-2409960,R1-2409118,Meeting Report,FL summary #4 for AI/ML in beam management (RAN1#118b).
R1-2400391,38.213,Technical Specification,Reference for parameter configuration in CSI timing
R1-2410247,RP-241650,Work Item,New WID on Enhancements of Network Energy Savings for NR
R1-2408460,38.212,Technical Specification,3GPP TS 38.212 covering DCI formats and procedures
R1-2402642,R1-2401948,Liaison Statement,LS on 2-step for eRedCap from RAN2 to RAN1
R1-2406170,38.213,Technical Specification,NR Physical layer procedures for control
R1-2404436,RP-234069,Study Item,Study on channel modelling for ISAC approved in RAN#102
R1-2401015,RP-234058,Study Item Approval,Approval of Ambient IoT study item in RAN#102
R1-2405879,RP-234007,Work Item Description,Approved WID for NR MIMO Phase 5
R1-2401862,RP-234056,Technical Report,Rel-19 LP-WUS WID defining objectives for idle/inactive and connected modes.
R1-2404195,RP-234078,Work Item Description,New WID: Non-Terrestrial Networks (NTN) for NR Phase 3
R1-2406030,R4-2406718,LS,RAN4 request for 3T6R antenna switching support
R1-2407197,R1-2400007,Liaison Statement,RAN2 input on UL Tx switching
R1-2410186,38.214,Technical Specification,3GPP TS 38.214 for physical layer procedures
R1-24xxxxx,R1-2402421,Draft CR,Samsung's proposed specification text for overlaps
R1-2402144,38.843,Technical Report,Rel-18 Study on AI/ML for NR Air Interface
R1-2409558,R1-2409278,Meeting Summary,Final summary of AI 9.5.3 from RAN1#118
