agenda_id,release,topic,description
9.1.2,Rel-19,AI/ML-based Positioning,"Discussion on AI/ML model training, inference, and monitoring mechanisms for positioning accuracy enhancement"
9.3.2,Rel-19,Random access on SBFD resources,Enhancements for RA procedures in SBFD symbols including connected/idle mode operation and CLI handling
9.1.2.1,Rel-17/Rel-18,Type-1 HARQ-ACK in PUCCH,Physical uplink control channel implementation details
7,Rel-17,SDT search space monitoring in initial DL BWP for RedCap,Discussion on correcting the specification to ensure center frequency alignment between initial DL and UL BWPs applies to both RA-SDT and CG-SDT scenarios.
NR_MIMO_evo_DL_UL-Core,Rel-18,Beam management in MTRP operations,Discussion on beam collision resolution between control and data channels in multi-TRP scenarios
8.1,Rel-18,SL-U Physical Channel Design Framework,"Study and specification of sidelink operation in unlicensed spectrum including channel access mechanisms, resource reservation applicability, and physical channel structure adaptations for FR1 bands"
9.1.3.2,Rel-18/Rel-19,Other Aspects of AI/ML in NR Air Interface,Discussion on life cycle management aspects including model identification mechanisms and additional conditions requirements
9.8.1,3GPP Release 18,Channel model validation of TR38.901 for 7-24GHz,"Discussion on enhancements to TR38.901 channel model including suburban scenario parameters, delay correlation modeling, polarization effects, and UE antenna characteristics for 7-24GHz frequencies"
9.4.1.1,3GPP,Ambient IoT receiver sensitivity requirements,Discussion and endorsement of receiver sensitivity parameters for Ambient IoT devices in TR38.769
8.12.6,Rel-18,UE Feature Enhancements,"Discussion on mobility, energy saving, BWP, and NTN capabilities"
NR_SL_enh2-Core,Rel-18,Core Aspects of Sidelink Enhancements,Discussion of fundamental protocol changes for Rel-18 sidelink improvements
9.4.1.1,Release 18,Ambient IoT Coverage Evaluation,"Evaluation of link budgets and performance metrics for ambient IoT communications including D1T1, D2R and R2D scenarios"
9.3.3,Release 18,CLI handling for SBFD operation,"Down-selection of UE-to-UE and gNB-to-gNB CLI mitigation schemes based on performance, specification impact, complexity, and operational feasibility. Key aspects include spatial domain methods (beam nulling/pairing), coordinated scheduling, power control, and measurement frameworks."
NR_SL_enh2-Core,Rel-18,Maintenance of NR Sidelink Operation,Editorial corrections and technical maintenance for NR sidelink operations in shared spectrum
9.4.1.1,Rel-19,Evaluation of Ambient IoT,"Discussion on link budget analysis, target distance refinement, inventory evaluation, and link performance for Ambient IoT standardization."
9.2.2,Rel-19,On 128 CSI-RS ports and UE reporting enhancements,Discussion of enhancements for CSI reporting with large antenna arrays (up to 128 ports) and UE reporting improvements for CJT deployments under non-ideal synchronization and backhaul conditions
9.5.1,Release 19,On-demand SSB SCell operation,Specification of procedures and signaling methods for on-demand SSB in SCells for connected mode UEs with CA configurations
9.11.2,Rel-18,Support of RedCap and eRedCap UEs in NR NTN,Discussion on specification requirements for HD-FDD RedCap/eRedCap UEs in NTN environments focusing on TA-related collision handling
9.1.4.2,Rel-19,Additional study on other aspects of AI/ML model and data,"Discussion on model identification procedures, dataset transfer, and inter-vendor collaboration challenges for AI/ML in NR."
9.1.3.1,Rel-18/Rel-19,AI/ML for CSI Feedback Enhancement,"Discussion on specification impacts, performance monitoring, and proposals for CSI prediction using UE-sided models in Rel-19."
9.4.2.3,Release 18,Downlink and uplink channel/signal aspects,"Discusses PRDCH/PDRCH structure, preamble design, and proximity determination mechanisms."
9.5.3,Rel-19,Adaptation of common signal/channel transmissions,Discussions on SSB/PRACH/paging adaptation mechanisms for Network Energy Savings
9.7.1,Rel-19,Study on channel modelling for Integrated Sensing And Communication (ISAC) for NR,Discussion on deployment scenarios and channel modeling parameters for ISAC systems
7.4.3.1,,SS/PBCH Block Structure,Discussion of synchronization signal block configurations in NR specifications
9.1.4.1,Rel-18,RRC Parameter Alignment,Discussion on alignment of RRC parameters between TS 38.215 and TS 38.331 for Sidelink operation
7,Rel-18,PTRS clarification for 2 CWs PDSCH/PUSCH,Clarification of PTRS association and time density determination procedures for retransmissions with two codewords
9.6.1,Rel-18,LP-WUS and LP-SS design,"Discussion on physical layer design aspects for low-power wake-up signals and synchronization signals in 5G NR, including waveform selection, synchronization mechanisms, and resource allocation"
9.1.2,Rel-19,Specification impacts for AI/ML Positioning,Discussion on normative work for AI/ML-based positioning enhancements derived from Rel-18 study
Netw_Energy_NR-Core,Rel-18,Network Energy Savings for NR,Discussions on CSI reporting optimizations for energy efficiency
9.4.2.3,,DL and UL channel/signal,Downlink and uplink channel/signal design considerations
9.3.3,Release 18/19,gNB-gNB CLI handling,"Discussion on UL resource muting schemes, timing offset handling, and adjacent channel CLI impacts in SBFD systems"
9.1.2,Release 19,Specification Support for Positioning Accuracy Enhancement,"Discussion of AI/ML framework for beam management and positioning enhancements, including measurement reporting standardization, LCM procedures, and performance monitoring requirements"
9.1.3.2,Rel-19,AI/ML based CSI compression,Study of AI/ML-based CSI compression techniques for NR air interface in Rel-19
Opening,Rel-18,Opening of the meeting,Initial procedures including IPR declarations and agenda approval.
9.1,Rel-18/Rel-19,AI/ML for NR Air Interface,"Discussion on specification support for AI/ML in beam management, positioning accuracy enhancement, CSI prediction, CSI compression, and model/data aspects."
9.4.2.3,Not specified,Study on solutions for Ambient IoT in NR,"Physical layer design aspects for Ambient IoT, including frame structure, waveforms, and channel/signal configurations."
9.1.1,Rel-18,ML based Beam Management,"Discussion on AI/ML enhancements for beam management including measurement accuracy improvements, beam reporting optimizations, and TCI state handling"
NR_pos_enh2-Core,,Positioning Enhancements,Discussion on collision handling rules for positioning SRS with Tx hopping in TDD systems.
Netw_Energy_NR,,Network Energy Saving for NR,Discussions on UE capability signaling for energy-efficient CSI processing
9.1.1,Rel-19,AI/ML for Beam Management,"Discussion of AI/ML enhancements for beam prediction and management, including configuration signaling, QCL handling, and performance monitoring"
9.10.1,Rel-19,Enhancements for XR services,Discussion on mechanisms to enable continuous XR data transmission during RRM measurement gaps through dynamic DCI-based gap skipping
9.11.1,Rel-19,NR-NTN Downlink Coverage Enhancement,"Discussion on power sharing among satellite beams, PDCCH/PDSCH coverage evaluation, and DM-RS bundling for Rel-19 NTN enhancements."
9.7.1,Release 19,Discussion on ISAC deployment scenarios,Channel modeling aspects for object detection/tracking in ISAC systems across six sensing modes and 0.5-52.6 GHz frequencies
9.5.1,Release 19,On-demand SSB SCell operation,Specification of procedures for on-demand SSB transmission to support SCell activation and measurements in connected-mode CA.
9.1.3.1,Rel-18,AI/ML based CSI feedback enhancement,"Discussion on UE-side AI/ML model performance, specification impacts, and standardization timeline for CSI prediction"
9.11.1,Rel-18,Downlink Coverage Enhancement for NR NTN,Study of system/link-level enhancements for FR1/FR2-NTN including SSB periodicity extension and beam hopping impacts
8.1,Rel-18,IoT-NTN Requirements,Discussion on measurement reference points for satellite-based IoT networks
NR_NTN_enh-Core,,SSB-TimeOffset Reference Point,Discussion on reference point selection for SSB-TimeOffset parameter in NTN enhancements
8.1,3GPP,UL MIMO Enhancements,Discussion on codebook-based transmission configurations for multi-panel scenarios
9.5.2,Rel-19,On-demand SIB1 for idle/inactive UEs,Specification of procedures for Case 2 on-demand SIB1 transmission using UL WUS and PRACH resources.
9.2.1,Rel-19,Enhancements for UE-initiated/event-driven beam management,Discussion of proposals for reducing beam switching latency and overhead through UE-initiated reporting mechanisms and synchronization state enhancements
9.4,Rel-18,Ambient IoT Study Item work plan,"Workplan coordination across RAN groups for Ambient IoT TR development including physical layer design, evaluation assumptions, device architectures, and cross-WG dependencies"
9.10.1,Rel-19,Enabling TX/RX for XR during RRM measurements,Discussion of enhancements to enable transmissions during measurement gaps caused by RRM procedures for XR applications
9.2.4,Rel-18,Enhancements on asymmetric DL sTRP/UL mTRP scenarios,"Specification enhancements for intra-band intra-DU non-co-located mTRP deployments focusing on pathloss offset configurations, PHR reporting, and SRS power control"
NR_redcap_enh-Core,,Enhanced RedCap UE Support,Maintenance of RRC parameters and feature groups for Rel-18 RedCap devices.
9.11.3,Rel-19,Uplink Capacity Enhancement for FR1-NTN,Specification of OCC for multiplexing up to 4 UEs with PUSCH repetitions
5.18.35,,LTM Cell Switch Command Procedures,Specification of MAC layer behavior for LTM cell switch operations
9.2.4,Rel-19,Enhancement for asymmetric DL sTRP/UL mTRP scenarios,"Specification of enhancements for asymmetric deployments with DL single-TRP and UL multi-TRP configurations, focusing on pathloss offset mechanisms and SRS power control."
NR_cov_enh-Core,,DMRS bundling enhancements,Specification updates for DMRS bundling in non-consecutive transmissions
9.4.2.4,2024/Q4,Ambient IoT Carrier Wave Characteristics,"Discussion on waveform characteristics for ambient IoT carrier waves including frequency diversity gains, interference suppression, and implementation complexity"
9.2.3,Rel-19,Enhancements for 3Tx UE codebook-based transmissions,"Discussion on SRS configurations, UE capability signaling, and fallback mechanisms for 3T3R/3T6R antenna switching."
9.7.2,Rel-18,Channel modelling for ISAC,"Discussion on RCS modeling methodologies for various targets (vehicles, AGVs, UAVs) and enhancements to channel models for monostatic/bistatic sensing."
RAN5-233768,,Clarification of frequencyInfoSL for SL-RSRP,Resolution of ambiguity in frequencyInfoSL-r16 field definition to ensure consistent UE behavior in NR SL measurements.
9.6.1,Rel-19,LP-WUS and LP-SS design,"Discussion on waveform generation, sequence design, and information encoding for low-power wake-up/synchronization signals in NR Rel-19"
9.2.4,Rel-19,Enhancement for asymmetric DL sTRP/UL mTRP scenarios,"Discussion on power control, beam management, and signaling enhancements for asymmetric multi-TRP deployments."
9.8.1,Rel-19,Channel model validation of TR 38.901 for 7-24 GHz,"Discussion on validating and enhancing TR 38.901 stochastic channel models for 7-24 GHz frequencies, including near-field propagation, spatial non-stationarity, and compatibility with emerging technologies."
9.4.2.3,Rel-19,D2R and R2D Channel/Signal Aspects,Discussion of physical layer design aspects for Device-to-Reader and Reader-to-Device communications in Ambient IoT systems
9.1.2,Rel-19,Specification support for positioning accuracy enhancement,"Discussion on AI/ML-based positioning methods including channel measurement reporting formats, assistance signaling requirements, and performance monitoring mechanisms"
7.1.1,Rel-17,UE Power Control Behavior,Discussion of power control parameter configurations for PUSCH transmissions
9.11.3,Release 19,Discussion on UL capacity enhancement for NR NTN,Evaluation of OCC techniques for PUSCH in NTN scenarios including time-domain (inter-slot/symbol) and frequency-domain implementations
9.6.3,Rel-18,LP-WUS operation,Discussion on connected mode operation of Low-Power Wake-Up Signals
9.1.4.1,Rel-18,PSFCH Resource Allocation,Clarification of PSFCH mapping rules for contiguous RB resource pools in SL-U operation
9.11.4,Rel-19,IoT-NTN UL Capacity Enhancement,Enhancements for IoT-NTN uplink capacity via OCC-based multiplexing of UEs in NPRACH and NPUSCH.
9.2.3,Rel-19,Support for 3TX CB-based Uplink,"Discussion of specifications for 3-antenna-port codebook-based transmissions including antenna switching configurations, power control parameters, RRC configurations, and UE capability signaling"
9.1.2,Release 19,Specification support for AI/ML positioning accuracy enhancement,"Discussion of measurement configurations, model input/output definitions, and performance monitoring mechanisms for AI/ML-based positioning"
8.12.3,Rel-18,Remaining issues on UE features for expanded and improved NR positioning,"Discussion of UE capability features for Rel-18 sidelink positioning enhancements including SL-PRS processing, resource pool configurations, and measurement reporting mechanisms"
9.5.3,Rel-19,NR network energy savings enhancements,"Discussion on time-domain adaptation mechanisms for SSB, PRACH, and paging occasions to improve network energy efficiency while maintaining legacy compatibility."
9.1.1,Rel-19,AI/ML for NR Air Interface,Work item on specification support for AI/ML-enabled beam management including spatial and temporal prediction use cases
9.4.2.2,Rel-19,Solutions for Ambient IoT,"Discussion on frame structure, synchronization, timing relationships, and random access procedures for Ambient IoT in Rel-19"
IoT_NTN_enh,Rel-18,IoT NTN Enhancements,Finalization of LTE UE capabilities for NTN IoT enhancements in Rel-18
R1-2401948,,2-step RACH Configuration,Coordination between RAN1 and RAN2 on PRACH configuration for eRedCap devices
9.6.3,Release 18,LP-WUS operation in CONNECTED modes,"Specification of procedures for UE PDCCH monitoring triggered by LP-WUS in RRC CONNECTED mode, including activation/deactivation mechanisms and coexistence with C-DRX."
7,Rel-17,UL Tx spatial filter determination,Clarification of UE behavior when Tx beams for PUSCH and associated SRS resources diverge due to TCI state updates
9.4.2.3,Release 19,Downlink and uplink channel/signal aspects for Ambient IoT,"Discussion of physical layer design for Ambient IoT including PRDCH formats, CRC attachment methods, preamble structures, and resource allocation mechanisms."
9.4.2.1,Rel-19,Ambient IoT Physical Layer Design,"Discussion on physical layer components including waveforms, numerologies, modulation, and coding schemes for Ambient IoT systems"
9.11.3,Rel-19,NR-NTN UL Capacity Enhancement,Discussion on OCC-based techniques for improving uplink capacity in FR1 NTN systems
9.5.3,Rel-19,Adaptive Transmission of Common Signal or Common Channel,Discussion on mechanisms to adapt SSB/PRACH transmission for network energy savings while maintaining legacy UE compatibility.
9.4.1.1,Rel-19,Ambient IoT Evaluation Assumptions,"Discussion on coverage assumptions, coexistence evaluations, link budget calculations, and design targets for Ambient IoT devices based on TR 38.848."
9.1.1,Rel-19,AI/ML for NR Air Interface,Discussion on AI/ML enhancements for beam management including spatial/temporal prediction and lifecycle management
9.1.3.1,Rel-19,Study on AI/ML-based CSI prediction,"Enhancements for AI/ML-based CSI prediction including performance evaluations, generalization studies, and specification impacts for Rel-19"
9.11.3,Release 19,NR-NTN uplink capacity and throughput enhancements,"Discussion on OCC-based techniques to improve uplink performance in NTN scenarios, including evaluations of phase rotation impacts, receiver algorithms, and signaling proposals."
9.2.2,Rel-19,Rel-19 MIMO CSI Enhancements,Discussion on UE reporting enhancements for CJT deployments and CSI support for 128 ports
7,Rel-17,Updating References for NR over NTN,Alignment of specification references to enable satellite access in NR Release 17 implementations
9.11.3,Rel-19,NR-NTN UL Capacity/Throughput Enhancement,"Evaluation of OCC-based solutions for enhancing uplink capacity in NTN environments, including specification impacts and feasibility studies."
9.4.2.2,Rel-19,Ambient IoT Physical Layer Design,"Discussion on frame structure, synchronization mechanisms, random access procedures, and timing relationships for Ambient IoT devices"
9.6.1,Rel-19,Signal design for LP-WUS and LP-SS,"Discussion on waveform generation, sequence design, synchronization requirements and performance evaluation for low-power wake-up mechanisms"
8.5,Not specified,L1/L2-triggered mobility procedures,Clarification of UE behavior for PRACH transmission conflicts in intra-band CA and DCI cell indicator encoding for NR-DC.
9.6.1,Release 18,LP-WUS and LP-SS Design,"Discussion on LP-WUS waveform (OOK-1/OOK-4), payload encoding, bandwidth configuration (5–20 MHz), periodicities aligned with DRx cycles, and BWP association to minimize power consumption."
9.1.3,Release 18,AI/ML for CSI Prediction,"Discussion of AI/ML-based CSI prediction performance, specification impacts, and standardization recommendations for NR Rel-18"
NR_SL_enh2-Core,Rel-18,NR Sidelink Parameter Alignment,Discussion on parameter name harmonization between TS 38.213 and TS 38.331 for sidelink synchronization
7,Pre-Rel-18,Pre-Rel-18 NR maintenance-Adhoc#1,"Discussion of essential corrections for NR specifications including BWP operation, power saving mechanisms, and RedCap UE behavior"
8.3,Rel-18,BW aggregation positioning,Discussion of remaining specification issues for PRS/SRS bandwidth aggregation in NR Rel-18 positioning
5,Rel-18,RACH-less Handover Enhancements,Discussion on CORESET usage and PUSCH configuration for NTN RACH-less handover
8.6,Rel-18,PRACH Coverage Enhancements,"Discussion of remaining specification issues for NR Rel-18 PRACH coverage improvements including power control mechanisms, beam management, and resource allocation strategies"
Rel-19 SBFD Work Item,,SBFD Random Access Operation,Discussion of RACH configuration options and paging enhancements for subband full duplex operation
9.4.2.1,Release 19,Ambient IoT Physical Layer Design,"Discussion of waveform selection, modulation schemes, and channel coding for ultra-low power IoT devices"
9.1.3,Rel-19,CSI Feedback Enhancement,"Discussion on AI/ML-based CSI prediction and compression techniques, including dynamic PRB grouping, fallback mechanisms, and performance optimization strategies"
9.8.2,Release 18,Channel model adaptation/extension,"Discussion on near-field propagation modeling and spatial non-stationarity characteristics for frequencies between 7-24 GHz, including updates to blockage models and antenna element-wise parameter variations"
9.3.3,Release 19,Evolution of NR duplex operation,"Enhancements for sub-band full duplex (SBFD) including CLI handling, UL resource muting, and UE-to-UE measurement frameworks."
5,NR_NTN_enh-Core,Discussion on LS on RAN2 agreements for satellite switch with resync,"Evaluation of UE capability to synchronize with a target satellite's downlink while connected to a source satellite during a soft switch, focusing on RAN1/RAN4 feasibility feedback."
Topic 4,Rel-18,Terminology Update (Legacy),Replacement of 'legacy' terms with meaningful descriptions in feature groups.
Positioning_MAC_Agreements,,Positioning MAC Agreements,Discussion on MAC layer agreements for positioning enhancements in Rel-18.
Synchronization_Source_Change,Release 18,Synchronization Source Change at Tx UE,Discussion on mechanisms to inform measurement UEs about synchronization source changes at transmitting UEs for SL positioning
9.4,Rel-19,Study on solutions for Ambient IoT in NR,"Covers evaluation assumptions, device architectures, physical layer design, frame structure, and channel/signal aspects for Ambient IoT in NR."
9.7.1,Rel-19,Channel modelling for Integrated Sensing And Communication (ISAC) for NR,"Discussion on deployment scenarios and channel modeling requirements for ISAC target detection/tracking, including sensing mode prioritization and scenario mapping"
9.6.2,Rel-19,LP-WUS Operation in IDLE/INACTIVE,"Specification of LP-WUS procedures for power-optimized paging monitoring, including timing configuration, beam management, and subgrouping mechanisms"
9.1.3.2,Rel-19,Study on CSI compression,"Discussion on AI/ML-based CSI feedback enhancements, including TSF-domain compression, inter-vendor collaboration, and performance monitoring."
9.9.1,Rel-19,Measurements related enhancement for LTM,"Discussion of physical layer measurement enhancements for Layer 1 Triggered Mobility including CSI-RS configuration, event evaluation mechanisms, and early CSI acquisition methods"
9.2.4,Rel-19,NR MIMO Enhancements,Discussion on Rel-19 MIMO Phase 5 enhancements including asymmetric TRP deployments
9.3.2,Rel-19,SBFD random access operation,Discussion of Sub-band Full Duplex enhancements for random access procedures
9.3.1,Rel-18,SBFD TX/RX/measurement procedures,"Discussion on standardization requirements for subband full duplex operations including resource configuration, legacy UE handling, and physical channel enhancements."
5,Rel-18,Discussion on Zenith Angle Value Range,Addressing discrepancies in zenith angle value ranges between RAN2 agreements and 3GPP specifications (38.455) for SLPP positioning.
RAN1#115-Agenda9.2.3,,TEI: HARQ-ACK multiplexing in PUSCH repetitions,Agreement on removing PDSCH scheduling restrictions after UL grants for non-first repetitions
9.1.3.1,Rel-19,AI/ML for CSI prediction,"Study objectives include evaluating performance gains over Rel-18 non-AI methods, complexity analysis, and addressing aspects like deployment scenario generalization and cell/site-specific models."
9.6.3,Rel-19,LP-WUS Operation in CONNECTED Mode,"Summary of contributions and proposals for LP-WUS configuration, activation procedures, and coexistence mechanisms in RRC CONNECTED mode"
5,Rel-18,SL positioning measurements,Clarification on whether SL PRS-RSRP/SL PRS-RSRPP can be independently requested/reported for Rel-18 NR SL positioning.
9.2.3,Rel-19,3-antenna-port codebook-based transmissions,Discussion on enhancements for 3Tx UL transmissions including codebook/non-codebook methods and antenna switching configurations
9.11.3,Release 19,NR NTN uplink capacity/throughput enhancement,"Discussion on techniques to improve uplink capacity in NTN via OCC-based PUSCH enhancements, including inter-slot/symbol OCC, UCI handling, and integration with TBoMS."
7.1,Rel-18,Remaining CG PUSCH type2 issues,Resolution of DAI field ambiguity in Rel-18+ activation DCIs and specification of RRC parameters prohibited from reconfiguration during active CG2 PUSCH.
8.8,Rel-18,Multi-carrier enhancement for NR,Discussion on UL transmission switching schemes involving multiple component carriers and band pairs
9.1.4.2,Rel-19,AI/ML Model and Data Aspects,"Discussion on model identification procedures (MI-Options 1-4), model transfer cases (z4), and standardization of reference models for CSI compression."
9.4.1.2,Release 19,Device architectures for Ambient IoT,"Discussion on energy harvesting, clock synchronization, and sustainable operation requirements for ambient IoT devices in NR Release 19."
9.1.4.1,Rel-19,CSI compression on AI/ML,Discussion of inter-vendor collaboration methods and specification impacts for AI/ML-based CSI compression
9.1.3.1,Rel-18,AI/ML-based CSI prediction,"Discussion on performance improvements and specification impacts of AI/ML-based CSI prediction techniques, including cell-specific modeling approaches and overhead reduction methods"
RAN4_UE_Cap_Framework,Release 18,UE Capability Framework Design,Coordination between RAN2 and RAN4 on UE capability signaling for multi-carrier enhancements
9.3.1,3GPP,Discussion on SBFD Tx/Rx/measurement procedures,"Enhancements for SBFD transmission/reception procedures including subband configuration, resource allocation, and measurement behaviors"
9.6.1,3GPP Release 18,LP-WUS/LP-SD Design,Discussion on physical layer structures for low-power wake-up signals and synchronization signals in NR
9.8,"Hefei, China, October 14th – 18th, 2024",Data source descriptions for 7-24 GHz SI,Discussion of measurement data collection framework for validating and enhancing 7-24 GHz channel models in TR38.901
NR_MIMO_evo_DL_UL-Core,,MIMO Enhancements for Uplink Multiplexing,Discussion of uplink multi-panel transmission enhancements including power control mechanisms
9.2.2,Rel-19,CSI Enhancements for Large Antenna Arrays,"Discussion of enhancements for 128 CSI-RS ports configuration, codebook improvements, and UE reporting mechanisms for advanced antenna systems"
9.7.2,Rel-18,ISAC Channel Modeling,Discussion on channel modeling framework for integrated sensing and communication systems
9.5.2,Rel-19,On-demand SIB1 for Idle/Inactive mode UEs,Discussion of procedures and signaling methods for Case 2 on-demand SIB1 transmission to support network energy savings.
9.7,Rel-19,Study on channel modelling for ISAC for NR,"Discussion on deployment scenarios, RCS modeling, Doppler effects, and calibration methodologies for ISAC channel models."
9.4.2.3,Rel-19,DL and UL Physical Channels/signals design in support of Ambient IoT devices,"Discussion on physical layer design aspects including frame structure, synchronization, waveforms, channel coding, and scheduling for Ambient IoT devices"
9.4.2.1,Rel-18/19,General aspects of physical layer design for Ambient IoT,"Discussion on DL/UL waveform design, encoding, and resource allocation for ultra-low power A-IoT devices."
9.5.2,NR Rel-19,Study of on-demand SIB1 for UEs in idle/inactive mode for NES,"Discussion on procedures and signaling methods to support on-demand SIB1 transmission, including UL WUS triggering methods, configuration provisioning, and inter-gNB coordination."
9.1.3,Rel-19,AI/ML for CSI Compression,"Discussion on performance monitoring, model standardization, and inference mechanisms for AI/ML-based CSI compression in Release 19."
9.2.1,Rel-19,NR MIMO Phase 5 Enhancements,Discussion on UE-initiated beam reporting mechanisms for reduced latency/overhead in FR2/sTRP scenarios.
5,Rel-18,UE Capability Clarifications,"Clarification of 'across all CCs' granularity for Rel-18/Rel-17 UE features including per-band, per-FS, and per-BC capabilities."
9.5.2,Rel-19,Enhanced network energy savings for NR,Discussion on mechanisms for on-demand SIB1 transmission to reduce base station energy consumption in idle/inactive modes
6.1,Rel-18,UE procedure for transmitting PUSCH,Discussion of UE procedures for physical uplink shared channel transmission with STxMP enhancements
9.10.1,18,Enabling TX/RX for XR during RRM measurements,Discussion of mechanisms to allow XR traffic transmission during measurement gaps through dynamic network signaling
9.11.2,Rel-19,NTN Enhancements for RedCap,Discussion on collision mitigation and TA handling for HD-FDD RedCap UEs in FR1-NTN
9.1.3.3,Rel-19,Other aspects of AI/ML model and data,"Discussion of model identification procedures, UE data collection mechanisms, and model transfer/delivery solutions for AI/ML-enabled NR features"
9.5.1,Release 18,Enhancements of network energy savings for NR,"Discussion on procedures and signaling methods for on-demand SSB transmission in SCell operation, including scenarios, triggering mechanisms, and deactivation options."
9.4.2.1,Rel-19,Study on general aspects of physical layer design for Ambient IoT,"Evaluates physical layer solutions for Ambient IoT devices, including waveforms, synchronization, channel coding, and multiplexing. Aligns with TR 38.848 requirements and addresses R2D/D2R transmission challenges."
9.6.1,Release 19,LP-SSS binary sequence evaluation,Discussion and approval of evaluation methodologies and results for LP-SSS candidate sequences
38.214 CR 0650,Rel-18,,Discussion of SRS configuration enhancements for positioning in NR
9.4.2.2,Release 19,Ambient IoT Physical Layer Design,"Discussion on synchronization mechanisms, resource allocation strategies, and timing relationships for energy-constrained IoT devices"
9.8.2,3GPP Rel-19,Channel model enhancements for frequencies up to 24 GHz,Discussion on near-field propagation modeling and spatial non-stationarity effects for large antenna arrays in 7-24GHz range
9.5.1,Rel-19,On-demand SSB SCell Operation,Discussion of scenarios and configurations for energy-efficient SCell operation using on-demand SSB transmissions
RAN1-118bis,Release 19,Proprietary concerns and overhead analysis,Evaluation of proprietary risks and encoder parameter overheads.
9.3.1,Rel-19,SBFD Procedures,"Discussion on transmission/reception behaviors, resource allocation, and configuration mechanisms for Subband Full Duplex operation"
NR_MBS-Core,Rel-17,MBS Physical Layer Enhancements,Discussion of physical layer modifications for multicast/broadcast services including scrambling configuration updates
9.1.2,Rel-18/Rel-19,AI/ML-based Positioning,Discussion on specification impacts for AI/ML-driven positioning accuracy improvements in NR
NR_pos_enh2-Core,,Sidelink Positioning Synchronization,Discussion on synchronization aspects for sidelink positioning measurements
9.8.2,Rel-18,Channel model adaptation,Discussion on near-field propagation modeling and spatial non-stationarity enhancements for TR 38.901
9.2.1,Rel-19,UE-initiated/event-driven beam management,Enhancements for reducing overhead/latency in beam management through UE-initiated reporting mechanisms
9.5.2,Release 19,Enhancements of network energy savings for NR,"Discussion of on-demand SIB1 mechanisms for IDLE/INACTIVE UEs including WUS configuration, triggering methods, and inter-gNB coordination"
9.5.2,Rel-19,On-demand SI for NES,Discussion of energy-saving mechanisms through dynamic system information transmission
9.1.3.1,R19,AI-based CSI Prediction,Evaluation methodology and specification impacts for CSI prediction using AI/ML approaches compared to traditional methods
9.5.3,Release 19,Adaptation of Common Signals and Channels for NES,"Discussion of techniques for dynamic adaptation of SSB/SIB-1 periodicity, PRACH configuration, and paging optimization to enable network energy savings while maintaining backward compatibility"
9.4.1.1,Rel-19,AIoT Evaluation Methodology,Coverage analysis and performance evaluation for Ambient IoT devices in Rel-19
9.5.2,Rel-19,On-demand SSB SCell Operation,Discussion on PHY-layer procedures for enabling energy-efficient SSB transmission in SCells.
9.5.2,Rel-19,On-demand SIB1 Procedure,"Discussion of spatial relationships, timing configurations, and signaling mechanisms for on-demand SIB1 transmission in idle/inactive mode"
7,Rel-17,SRS Power Control Parameter Determination,"Discussion on specification updates for SRS power control parameters when not associated with TCI states, including applicability to PUSCH/PUCCH."
9.4.1.1,Rel-19,Ambient IoT evaluations,"Evaluation of Rel-19 Ambient IoT design targets including coverage (MPL calculation), latency, connection density (150 devices/100m²), and coexistence with NR/LTE systems."
9.2.2,Rel-19,Discussion on CSI enhancements,"Discussion on enhancements to CSI for Rel-19 MIMO, including Type I codebook refinements and CJT calibration reporting."
5,Release 18,LS on type 3 PH value for the serving cell configured with mTRP,"Clarify UE behavior for Type 3 PHR reporting when mTRP is configured, focusing on scenarios with two UL carriers and Release 17/18 enhancements."
8.1,Rel-18,Maintenance on NR MIMO Evolution for Downlink and Uplink,"Discussion of specification maintenance for MIMO enhancements in Release 18, including 2TA corrections, CSI/SRS procedure updates, and UL precoding clarifications."
9.3.1,Release 19,SBFD Operation Procedures,"Discussion on subband time location configuration, UL/DL collision handling, and cross-symbol scheduling for SBFD-aware UEs"
9.1.3.3,Rel-18,Other aspects of AI/ML model and data,"Discussion on model identification procedures, dataset transfer mechanisms, and standardization of model transfer formats for AI/ML in NR"
,Rel-18,RRC Parameter Alignment,Discussion of parameter consistency between physical layer and RRC layer specifications
7,NR,SRS Power Scaling and Transmission Occasion,"Discussion on clarifying UE behavior for SRS power allocation and transmission occasions in non-codebook-based operation, including implications for power headroom reporting and PUSCH power estimation."
5.1.5,,Antenna ports quasi co-location,Discussion on beam application timing clarifications for mDCI mTRP deployments in the TCI framework.
9.4.1.2,Release 19,Device architectures for Ambient IoT,"Discussion on defining device architectures for Ambient IoT in NR Release 19, including energy harvesting, clock synchronization, and memory requirements."
9.2.1,Rel-19,NR MIMO Enhancements,Specification of UE-initiated beam management enhancements for reduced overhead/latency in FR2/sTRP deployments using unified TCI framework.
9.4.2.3,,Downlink and uplink channel design for ambient IoT,"Discussion on physical channel structures for ambient IoT, including timing acquisition signals, modulation schemes, and error correction mechanisms."
Obj.1,Release 19,On-demand SSB SCell Operation,Clarification of relationships between always-on and on-demand SSB configurations
9.11.1,Rel-19,Downlink Coverage Enhancements for NR NTN,"Discussion on link-level and system-level solutions to improve downlink coverage in NR NTN, including PDCCH/PDSCH enhancements, beam hopping strategies, and SSB periodicity adjustments."
