meeting_id,venue,wg,topic
RAN WG1 #116,"Athens, Greece",RAN WG1,"February 26th - March 1st, 2024 meeting"
RAN WG1 #118,"Maastricht, NL",RAN WG1,3GPP NR Physical Layer Enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Enhancements for asymmetric DL sTRP/UL mTRP scenarios
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,Clarification of CDM group usage in MU-MIMO
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical Layer Standardization
RAN WG1 Meeting #116b,"Changsha, China",RAN WG1,On-demand SIB1 techniques
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,CR approval for 38.214 on simultaneous PDSCH reception
RAN WG1 #116b,"Changsha, China",RAN WG1,9.4.2.1 - Physical layer design for Ambient IoT
RAN WG1 #119,"Orlando, FL, USA",RAN WG1,ISAC Channel Modeling
3GPP TSG-RAN WG1 Meeting #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR Sidelink enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,UE Features for NES
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,5G/6G Physical Layer Standards
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,AI/ML Positioning Enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,FR2-NTN aspects
RAN WG1 #119,"Orlando, USA",RAN WG1,Enhancements to enable Tx/Rx for XR during RRM measurements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",TSG-RAN WG1,NR Physical Layer Specifications
RAN WG1 #116-bis,"Changsha, CN",RAN WG1,AI/ML for NR Air Interface
3GPP TSG RAN WG1 Meeting #118-bis,"Hefei, China",RAN WG1,Enhancements for XR in NR
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,EPRE of CSI-RS and PDSCH for NES
RAN WG1 #116,"Athens, Greece",RAN WG1,Support of RedCap/eRedCap UEs in NR-NTN
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Enhancement of NR-NTN
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Case 1 dormancy operation
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR-NTN Enhancements
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",TSG-RAN WG1,Physical layer protocol design for NR
RAN WG1 #118,"Maastricht, NL",RAN WG1,PRG allocation for SBFD in Rel-19
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Ambient IoT Physical Layer Standardization
RAN WG1 #118bis,"Hefei, China",RAN WG1,Maintenance on Rel-18 Multi-Carrier Work Items
3GPP TSG-RAN WG1 Meeting #116,"Athens, GR",RAN WG1,NR NTN Phase-3 Work Item Discussion
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, NL",RAN WG1,NR physical layer enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,AIoT physical layer aspects
RAN WG1 #118,"Maastricht, NL",RAN WG1,Ambient IoT in NR
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Rel-18 NR Enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,SBFD CLI Operation
RAN WG1 #116,"Athens, Greece",RAN WG1,3GPP NR Physical Layer Enhancements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,LTM cell switch procedures
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Physical Layer Agenda
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,SRS BW aggregation impact analysis
RAN WG1 #118,"Maastricht, NL",RAN WG1,UE features for Rel-18 LTM
RAN WG1 #119,"Orlando, USA",RAN WG1,IoT-NTN uplink enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,SBFD operation enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Study on AI/ML for NR Air Interface (CSI Prediction)
RAN WG1 #116bis,"Changsha, China",RAN WG1,Rel-17 MBS Corrections
3GPP TSG RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer protocol development for 5G NR
3GPP TSG RAN WG1 meeting #116bis,"Changsha, China",RAN WG1,NR Network Energy Saving Enhancements
RAN WG1 #116b,"Changsha, China",RAN WG1,Channel model enhancements for 7-24GHz
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Positioning Accuracy Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Enhancements for NR MIMO
3GPP TSG RAN WG1 #116bis,"Changsha, China",RAN WG1,NR Sidelink Evolution
RAN WG1 #118,"Maastricht, NL",RAN1,NR physical layer enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,Agenda Item 9.10.1: XR enhancements for NR Phase 3
RAN WG1 #116,"Athens, Greece",RAN WG1,Uplink capacity enhancement for IoT-NTN
RAN WG1 #118,"Maastricht, NL",RAN WG1,AI/ML for NR Air Interface: CSI Compression
3GPP TSG RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Physical Layer Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Ambient IoT Device Architectures
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,NR_SL_enh2-Core
3GPP TSG RAN WG1 #116-bis,"April 15th – 19th, 2024",RAN WG1,asymmetric DL/UL mTRP operation
TSG-RAN WG4 #109,"Chicago, US",RAN WG4,Radio performance aspects
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 NES Enhancements
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, NL",RAN WG1,LP-WUS Operation in Connected Mode
RAN WG1 #119,"Orlando, United States of America",TSG-RAN WG1,9.11.5 IoT-NTN TDD Mode
RAN WG1 #116,"Athens, Greece",RAN WG1,Ambient IoT waveform characteristics and CWN deployment
RAN WG1 #118bis,"Hefei, China",RAN WG1,Physical layer protocol maintenance and enhancements
RAN1#119,"Orlando, US",RAN WG1,NR-NTN Uplink Enhancements
3GPP TSG RAN WG1#117,"Fukuoka, Japan",RAN WG1,Downlink and uplink channels/signals for Ambient IoT
RAN WG1 #116-bis,"Changsha, China",RAN WG1,Channel modeling enhancements for 7-24 GHz
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-19 Ambient IoT Evaluation
RAN WG1 #118b,"Hefei, China",RAN WG1,Study on solutions for Ambient IoT in NR
TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,NR Positioning Enhancements
3GPP TSG-RAN WG1 Meeting #119,"Orlando, FL, USA",RAN WG1,Enhancements of network energy savings for NR
3GPP TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,NR-NTN downlink coverage enhancement
3GPP TSG-RAN WG1 Meeting #R1-117,"Fukuoka, Japan",RAN WG1,Physical Layer Specifications
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",TSG-RAN WG1,NR Positioning Enhancements
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,A-IoT Physical Layer Design
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Enhancements for NR MIMO
TSG-RAN WG1 Meeting #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR MIMO Phase 5 Enhancements
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Ambient IoT Physical Layer Design
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Expanded and Improved NR Positioning
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 NR Mobility Enhancements Phase 4
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR Positioning Enhancements and Bandwidth Aggregation
RAN WG1 #118bis,"Hefei, China",RAN WG1,Physical layer design for NR Ambient IoT
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR-NTN Physical Layer Enhancements
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Physical Layer Design for Ambient IoT
TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,Functionality reporting for beam management
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,On-demand SSB SCell Operation
3GPP TSG RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,Evolution of NR duplex operation
RAN WG1 #116bis,"Changsha, China",RAN WG1,Evolution of NR Duplex Operation: SBFD
RAN WG1 #116,"Athens, Greece",RAN WG1,8.12.6: UE features for NR NCR
RAN WG1 #119,"Orlando, US",RAN WG1,3GPP TSG RAN WG1 meeting
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR-NTN Enhancements for Rel-19
RAN WG1 #114bis,"Athens, Greece",RAN WG1,Rel-19 XR enhancements
3GPP TSG RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR-NTN Enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Ambient IoT Device Architecture
RAN WG1 #116-bis,"Changsha, China",RAN WG1,NR Physical Layer Agenda Items
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN1,NR mobility enhancements
TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,9.11.3: Uplink Capacity/Throughput Enhancement for FR1-NTN
3GPP TSG RAN WG1 Meeting #118-bis,"Hefei, CN",RAN WG1,Channel model validation for 7-24 GHz
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 Technology Evolution Items
RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical Layer Design for Ambient IoT
RAN WG1 #119,"Orlando, USA",RAN WG1,Channel modelling for 7-24GHz
RAN WG1 #118bis,"Hefei, China",RAN WG1,Waveform characteristics for A-IoT carrier waves
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR Protocol Specification Maintenance
RAN WG1 #119,"Orlando, US",RAN WG1,9.1.3 - Study on consistency issue for CSI prediction
3GPP TSG RAN WG1 #116bis,Changsha,RAN WG1,AIoT Physical Layer Design
3GPP TSG RAN WG1#116bis,"Changsha, China",RAN WG1,SBFD CLI operation
RAN WG1 #119,"Orlando, USA",RAN WG1,Rel-19 Network Energy Savings Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,IoT-NTN TDD Mode Enhancements
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Channel Model Validation
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Expanded and improved NR positioning (NR_pos_enh2)
RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,NR NTN Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,CR on reportQuantity configurations in TS 38.212
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Expanded and Improved NR Positioning
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Agenda Item 9.11.1: NR NTN Phase 3 DL Coverage Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,Channel Modelling for Integrated Sensing and Communications
RAN WG1 #116-bis,"Changsha, China",RAN WG1,Additional study on AI/ML for NR air interface: CSI compression
RAN WG1 #116,"Athens, Greece",RAN WG1,5G NR Evolution and 6G Preparation
RAN WG1 #118bis,"Hefei, China",RAN WG1,AI 8.1 SL-U Physical Channel Design Framework
RAN WG1 #118bis,"Hefei, China",RAN WG1,Agenda Item 9.4.1.1: Ambient IoT Evaluation
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,SRS Bandwidth Aggregation Corrections
RAN WG1 #116-bis,"Changsha, China",RAN WG1,Sidelink Enhancements for NR Rel-18
RAN WG1 #118,"Maastricht, NL",RAN WG1,AI/ML-based positioning accuracy enhancement
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 CSI enhancements
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR Physical Layer Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-19 XR Enhancements
RAN WG1 #118b,"Hefei, China",RAN WG1,Adaptation of common signal and channel transmissions
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR Physical Layer Agenda
RAN WG1 #119,"Orlando, USA",RAN WG1,Ambient IoT Evaluation Assumptions
TSG-WG Meeting #116-bis,"Changsha, China",RAN WG1,3GPP Specification Maintenance
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Physical layer protocol specification
TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,Ambient IoT Evaluation Assumptions
3GPP TSG-RAN WG1 Meeting #119,"Orlando, US",RAN WG1,Support of RedCap and eRedCap UEs with NR NTN operating in FR1-NTN bands
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Maintenance on NR Network-Controlled Repeaters
RAN WG1 #116a,"Changsha, China",RAN WG1,Evolution of NR duplex operation
RAN WG1 #118bis,"Orlando, US",RAN WG1,AI/ML for NR Air Interface
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,5G Advanced Evolution
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,CSI prediction enhancements for NR
RAN WG4 Meeting #109,"Chicago, US",RAN WG4,NTN VSAT Capability Standardization
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-19 7-24GHz Channel Model Enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,AI-enabled Beam Management
RAN WG1 #118bis,"Hefei, China",RAN WG1,9.11.1 NR-NTN downlink coverage enhancement
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR Coverage Enhancements
TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,Data block sizes for Ambient IoT
RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Channel model adaptation/extension for 7-24 GHz
3GPP TSG RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Physical Layer Specifications
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,Channel model enhancements for 7-24 GHz
RAN WG1 #116,"Athens, Greece",RAN WG1,AI/ML-based positioning accuracy enhancement
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Satellite switch procedures and synchronization requirements
3GPP TSG RAN WG1 Meeting #119,"Orlando, USA",RAN WG1,On-demand SSB SCell operation for Network Energy Savings
RAN WG1 #119,"Orlando, US",RAN WG1,Physical Layer Agenda for NR and LTE
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,SSB-TimeOffset reference point discussion
TSG-RAN WG1#119,"Orlando, US",RAN WG1,Rel-19 MIMO Enhancement
RAN WG1 #118,"Maastricht, NL",RAN WG1,Updated Rel-18 RAN1 UE features list for LTE
RAN WG1 #118bis,"Hefei, China",RAN WG1,CSI-RS/SRS Spatial Relation in RRC_INACTIVE
RAN WG1 #119,"Orlando, US",RAN WG1,AI/ML-based Positioning Accuracy Enhancement
3GPP TSG-RAN WG1 Meeting #119,"Orlando, US",RAN WG1,Rel-18 MIMO Enhancements
3GPP TSG RAN WG1 Meeting #116b,"Changsha, China",RAN WG1,On-demand SSB for Network Energy Savings
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,7-24GHz channel model validation
RAN WG1 #116,"Athens, Greece",RAN WG1,AI/ML for NR Air Interface - Beam Management Enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 Work Item Maintenance
RAN WG1 #119,"Orlando, US",RAN WG1,"NTN, IoT, and IoT-NTN TDD Mode Enhancements"
RAN WG1 #118bis,"Hefei, China",RAN1,5G NR and IoT Evolution
TSG RAN1#116bis,"Changsha, China",RAN1,Physical Layer Enhancements
3GPP TSG RAN WG1#116bis,"Changsha, China",RAN WG1,Physical layer specifications discussion
3GPP TSG RAN WG1 Meeting #116bis,"Changsha, Hunan Province, China",RAN WG1,Maintenance of Rel-18 WI on expanded and improved NR positioning
RAN WG1 #118bis,"Hefei, China",RAN WG1,Agenda Item 5: Physical layer aspects
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,NR NTN Downlink Coverage Enhancement
RAN WG1 #116,"Athens, GR",RAN WG1,Study on solutions for Ambient IoT in NR
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,FR2-NTN PRACH Table
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR MIMO Evolution
RAN WG1 #116bis,"Changsha, China",RAN WG1,Scheduling enhancements for XR
RAN WG1 #118bis,"Hefei, China",RAN WG1,Link Adaptation and Physical Layer Enhancements
RAN WG1 #116,"Athens, Greece",RAN WG1,NTN and RedCap operation in FR1
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,On-demand SIB1 for idle/inactive mode UEs
RAN WG1 #116-bis,"Changsha, Hunan, China",RAN WG1,NR Sidelink Enhancements for Release 18
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,On-demand SSB SCell operation
RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Physical Layer Specifications
TSG-RAN WG1 Meeting #118bis,"Hefei, China",RAN WG1,Beam Management UE-Sided Model Functionality Reporting
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-18 UE Features Clarification
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Rel-19 XR Enhancements
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Collision Handling Between PUCCH and SRS
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,AI/ML in beam management
3GPP TSG-RAN1 Meeting #117,"Fukuoka, Japan",RAN WG1,UL Power Control Enhancements for NTN
RAN WG1 #116-bis,"Changsha, China",RAN WG1,CSI Prediction Evaluation
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,3GPP TSG RAN WG1 Meeting #117
RAN WG1 #118,"Maastricht, NL",RAN WG1,CSI enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,CR discussion for NR SL channel access enhancements
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR MIMO Evolution for DL/UL
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,NR NTN FR2 Operation
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,Physical layer enhancements
RAN WG1 #118bis,"Hefei, Anhui, China",RAN WG1,NR Physical Layer Enhancements
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,Enhancement of network energy savings for NR
RAN WG1 #116,"Athens, Greece",RAN WG1,Clarifications for Type 2 CG-PUSCH
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-19 Work Item Discussion
RAN WG1 #119,"Orlando, US",RAN WG1,NTN Enhancements for NR/IoT
RAN WG1 #116,"Athens, Greece",RAN WG1,9.2.2: CSI Enhancement for R19 MIMO Evolution
RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,UL synchronization for contention-based transmission
RAN WG1 #118,"Maastricht, NL",RAN WG1,SBFD TX/RX/measurement procedures
3GPP TSG-RAN WG1 Meeting #118,"Maastricht, Netherlands",RAN WG1,9.4.2.4: Ambient IoT Solutions
TSG-RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,NTZ solution impacts
3GPP TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,Radio Access Network Physical Layer Standardization
3GPP TSG RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,NR Physical Layer Enhancements
3GPP TSG-RAN WG4 Meeting #110,"Athens, Greece",RAN WG4,NR positioning enhancements
3GPP TSG RAN WG1 #118,"Maastricht, NL",RAN WG1,RAN1 Specification Discussion
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,Physical layer protocols
RAN WG1 Meeting #118,"Maastricht, NL",RAN WG1,Physical layer protocol aspects
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,NR Positioning Enhancements
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",TSG-RAN WG1,Radio Access Network Physical Layer Specifications
RAN WG1 #118bis,"Hefei, China",RAN WG1,Rel-19 MIMO Enhancements
TSG RAN1 #116bis,"Changsha, China",RAN WG1,AI/ML Management specifications
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Rel-18 Work Item Features
RAN WG1 #119,"Orlando, US",RAN WG1,AI/ML for NR Positioning Enhancements
TSG-RAN WG1 Meeting #118,"Maastricht, The Netherlands",RAN WG1,AI/ML for NR Air Interface (CSI Prediction)
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR Mobility Enhancements
RAN WG1 #119,"Orlando, US",RAN WG1,Rel-18 UE Features
RAN WG1 #118,"Maastricht, NL",RAN WG1,AI/ML based positioning accuracy enhancement
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR Coverage Enhancements
RAN WG1 #116b,"Changsha, China",RAN WG1,AI/ML for NR Air Interface
TSG-RAN WG4 #109,"Chicago, US",RAN WG4,Radio Performance Specifications
RAN WG1 #118,"Maastricht, NL",RAN WG1,Enabling XR Data Transmissions During RRM Measurements
RAN WG1 #117,"Maastricht, NL",RAN WG1,AIoT Physical Layer Design
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR MIMO Evolution Rel-19 Enhancements
3GPP TSG-RAN WG1 Meeting #119,"Orlando, FL, USA",RAN WG1,LTM PRACH and serving cell UL transmission coordination
RAN WG1 #117,"Fukuoka, Japan",RAN WG1,9.4.2.2 - Frame structure and timing aspects for Ambient IoT
RAN WG1 #116,"Athens, Greece",RAN WG1,SBFD TX/RX/measurement procedures
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,AI/ML for Positioning Accuracy Enhancement
RAN WG1 #118,"Maastricht, NL",RAN WG1,General aspects of physical layer design
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Channel Model Enhancements for 7-24 GHz
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,UE-initiated/event-driven beam management
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China, April 15–19, 2024",RAN WG1,CSI enhancements for large antenna arrays and CJT
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,LP-WUS Procedures in Connected Mode
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,SBFD CLI handling
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,9.11.4: IOT-NTN uplink capacity/throughput enhancement
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Ambient IoT Architecture Discussion
RAN WG1 #118bis,"Hefei, China",RAN WG1,UE-initiated beam management enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,Physical layer specifications development
3GPP TSG RAN WG1 #117,"Fukuoka, Japan",RAN WG1,Rel-19 CSI Enhancements
RAN WG1 #119,"Orlando, U.S.",RAN WG1,Enhancements of Network Energy Savings for NR
RAN WG1 #118,"Maastricht, The Netherlands",RAN WG1,NR Physical Layer Agenda Items
RAN WG1 #118,"Maastricht, NL",RAN WG1,SBFD Operation Enhancements
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Discussion on enabling TX/RX for XR during RRM measurements
RAN WG1 #119,"Orlando, US",RAN WG1,CSI enhancements for Rel. 19 MIMO
TSG RAN WG1 #116,"Athens, Greece",RAN WG1,Physical Layer Specifications
RAN WG1 #116bis,"Changsha, Hunan Province, China",RAN WG1,NR Physical Layer Agenda Items
3GPP TSG RAN WG1 Meeting #119,"Orlando, US",RAN WG1,Uplink enhancement for 3Tx UE
RAN WG2 #127,"Maastricht, Netherlands",RAN WG2,NR_NTN_enh-Core Work Item
3GPP TSG RAN WG1 Meeting #118-bis,"Hefei, China",RAN WG1,LP-WUS and LP-SS Design Considerations
RAN WG1 #118bis,"Hefei, China",RAN WG1,Channel Model Enhancements for 7-24 GHz
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,NR and LTE Physical Layer Enhancements
RAN WG1 #118-bis,"Hefei, China",RAN WG1,Evolution of NR duplex operation: Sub-band full duplex (SBFD)
RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,3-antenna-port codebook-based transmissions
RAN WG1 #119,"Orlando, US",RAN WG1,Study on channel modelling for ISAC for NR
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR MIMO evolution
RAN WG1 #118-bis,"Hefei, China",RAN WG1,NR Physical Layer Enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,9.1.1 - Beam Management
RAN WG1 #118bis,,RAN1,2TA Enhancements
3GPP TSG RAN WG1 #118bis,"Hefei, China",RAN WG1,Study on channel modelling for ISAC for NR
RAN WG1 #116,"Athens, Greece",RAN WG1,Maintenance of Rel-18 WI on Expanded NR Positioning
3GPP TSG RAN WG1 #116,"Athens, Greece",RAN WG1,NR MIMO Evolution
3GPP TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Physical Layer Specifications
RAN WG1 #116,"Athens, Greece",RAN WG1,Rel-19 IoT NTN Work Plan
3GPP TSG-RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,128 CSI-RS ports and UE reporting enhancements
RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,8.6: Remaining issues on PRACH coverage enhancements
3GPP TSG RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,LP-WUS operation in RRC IDLE/INACTIVE
3GPP TSG-RAN WG1 #116,"Athens, Greece",RAN WG1,Expanded and Improved NR Positioning
RAN WG1 #118bis,"Hefei, China",RAN WG1,5G NR Physical Layer Specifications
3GPP TSG-RAN WG1 Meeting #116bis,"Changsha, China",RAN WG1,AI/ML for CSI Compression
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,Physical layer design for Ambient IoT
3GPP TSG RAN WG1 Meeting #119,"Orlando, USA",RAN WG1,Techniques for NES (Network Energy Savings) and on-demand SIB1
RAN WG1 #119,"Orlando, US",RAN WG1,9.4.1.2 - Ambient IoT Device Architectures
RAN WG1 #118bis,"Hefei, China",RAN WG1,ISAC channel modeling
TSG-RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,NR MBS and PDSCH timeline enhancements
RAN WG1 #117,"Fukuoka City, Fukuoka, Japan",RAN WG1,9.1.3.2 Discussion on CSI compression
3GPP TSG RAN WG1 Meeting #117,"Fukuoka, Japan",RAN WG1,Multi-carrier enhancements for NR
RAN WG1 #118,"Maastricht, Netherlands",RAN WG1,NR physical layer enhancements
RAN WG1 #118,"Maastricht, NL",RAN WG1,9.3.1: Reception and transmission procedure for SBFD operation
TSG RAN WG1 Meeting #116,"Athens, Greece",RAN WG1,Bandwidth Aggregation for Positioning
RAN WG1 #118,"Maastricht, NL",RAN WG1,Physical Layer Standards Development
RAN WG1 #119,"Orlando, US",RAN WG1,Physical Layer Specifications for NR
3GPP TSG RAN WG1 Meeting #119,"Orlando, US",RAN WG1,Physical layer protocol development
RAN WG1 #118-bis,"Hefei, China",RAN WG1,SBFD Procedures
RAN WG1 #118,"Maastricht, NL",RAN WG1,NR NTN enhancements and CR discussions
3GPP TSG RAN WG1 #116-bis,"Changsha, Hunan Province, China",RAN WG1,Ambient IoT Standardization
3GPP TSG-RAN WG1 Meeting #116-bis,"Changsha, Hunan Province, China",RAN WG1,Multi-Carrier Enhancements for NR
RAN WG1 #116,"Athens, Greece",RAN WG1,NR MIMO evolution
RAN WG1 #118bis,"Hefei, China",RAN WG1,NR-NTN Enhancements
