doc_id,entity_name,context,frequency
R1-2402178,RCS,Radar Cross-Section modeling for sensing targets,12
R1-2401221,PRACH,Power ramping counter suspension when PRACH transmissions are dropped or power-reduced.,25
R1-2410241,SBFD,UE behavior in mixed symbol configurations,47
R1-2407015,Non-Terrestrial Networks,Propagation delay challenges for control signaling,8
R1-2403084,SIB19,System Information Block handling for timing parameter updates,15
R1-2400968,PRACH,PRACH configuration tables and NTN operation,15
R1-2404011,MSG1 repetition,Rel-18 agreement on unsupported PRACH mask configuration.,8
R1-2402859,OOK,R2D modulation scheme,6
R1-2408798,Integrated Sensing and Communication,Proposals for target modelling and RCS characterization,15
R1-2400663,OFDM,Evaluation of CP removal for complexity reduction,4
R1-2409679,TDRA,Time Domain Resource Allocation for dynamic UL muting indication,15
R1-2403355,SS/PBCH Block,Reference signal source clarification in beam management,8
R1-2410661,SL-TDOA,Additional measurement reporting requirements,8
R1-2408538,SSB,Beam association for RRM measurements,15
R1-2408596,Midamble,Timing synchronization in long payload transmissions,7
R1-2400450,TR38.843,Study on AI/ML for NR air interface,2
R1-2400224,DMRS Bundling,NTN-specific implementation challenges with phase continuity,12
R1-2405466,TCI,Clarification of automatic activation behavior,15
R1-2405636,NZP-CSI-RS,Resource set configurations with trs-Info,12
R1-2406024,CJT,Inter-TRP calibration for coherent transmission,12
R1-2406798,CSI report sub-configurations,Spatial/power domain adaptation mechanisms for energy savings,15
R1-2408571,Frequency Hopping,Discussed as a candidate CW waveform with limited diversity gain compared to two-tone configurations.,4
R1-2408739,CSI-RS,Port aggregation mechanisms for 48-128 port configurations,18
R1-2404896,PRACH,Dynamic RO configuration with legacy/NES resource separation,22
R1-2402197,DM-RS,Referenced in relation to CDM group configurations and UE assumptions.,1
R1-2403676,MAC-CE,Semi-persistent activation/deactivation of measurement patterns,28
R1-2402686,DCI Format 2_3,Enhanced for SRS power control signaling,12
R1-2407570,DMRS sequence generation,Parameter alignment for MBS physical layer configurations,15
R1-2408868,TA Reporting,Proposed enhancements for finer granularity and periodic updates,12
R1-2410868,firstActiveUplinkBWP-Id,UL BWP reference parameter,
R1-2404693,OCC,Orthogonal Cover Codes for PUSCH capacity enhancement,23
R1-2408187,L1-RSRP,Primary measurement metric for beam quality comparison,9
R1-2400594,Configured Grant PUSCH,Validation criteria for collision avoidance,8
R1-2406658,SSB,Proposed as on-demand transmission for SCell activation/measurements,42
R1-2401675,Cell Dormancy,Considered for SCell energy saving states requiring on-demand SSB reactivation,12
R1-2404216,TBoMS,Required for inter-symbol OCC to maintain coding rate,8
R1-2405326,CG-RRC-Configuration,Key IE for configuring RACH-less handover parameters,12
R2-2403979,NR-DL-AoD,Measurement inclusion in PRU assistance data,4
R1-24xxxxx,CSI Prediction,Consistency evaluation between training/inference phases,8
R1-2408429,UL-SRS,Uplink SRS resources for gNB-side measurements in Case 3b,12
R1-2407652,TR 38.901,Channel model reference standard,15
R1-2401459,HD-FDD,Collision handling rules for NTN operation,15
R1-2407450,SSB,SSB-to-RO mapping requirements,5
R1-2408751,MI-Option3,Model identification with model transfer procedure,5
R1-2402060,TCI state,Spatial filter configuration for data transmission,12
R1-2402354,SRS,Impact of SRS bandwidth aggregation on channel/signal collisions,8
R1-XXXXXX,Manchester Encoding,Line coding scheme used in D2R communications,23
R1-2400685,LP-WUS,Design and operational procedures for power-efficient UE wake-up,45
R1-2408049,Manchester Coding,Used for clock recovery in preamble design,15
R1-2409821,ELAA,Extremely Large Antenna Arrays enabling near-field scenarios,3
R1-2402866,TR 21.900,CR categorization guidelines,1
R1-2405810,Case z4,Model transfer procedures Alt.A/B discussion,12
R1-2407058,PRACH,Time-domain resource allocation strategies,28
R1-2406684,Initial BWP,Impact of SBFD on initial access bandwidth requirements,7
R1-2403918,Sidelink Type 1/2 Channel Access,Dynamic LBT mechanisms for shared spectrum operation,12
R1-2406937,Frequency Hopping,Proposed for improving frequency diversity in fading channels,8
R1-2407037,SSB,On-demand transmission for SCell synchronization and measurements,45
R1-2403467,TCI,Unified TCI framework extensions,12
R1-2400340,LP-WUS,Core mechanism for connected-mode power savings,42
R1-2408032,SSB,Synchronization Signal Block measurements causing scheduling restrictions,5
R1-2401072,RRC_INACTIVE,State-specific transmission requirements,8
R1-2408396,Regenerative Payload,Onboard gNB deployment scenarios,6
R1-2409971,3T6R Antenna Switching,Configuration for 3TX UE antenna switching,4
CR-Form-v12.2 CHANGE REQUEST 2 CR rev,PTRS,Association with DMRS ports in UL MIMO,15
R1-2403240,MIMO,Discussed throughout as the main enhancement area,15
R1-2410414,Case 3b,NG-RAN node-assisted positioning with LMF-side model,15
R1-2407827,Transport Block (TB),Maximum and minimum TB size feasibility for Ambient IoT,8
R1-2400380,Model-ID,Life Cycle Management (LCM) and model transfer,15
R1-2404721,BM-Case2,Future time instance beam reporting,15
R1-2404871,Slotted ALOHA,Baseline contention-based access mechanism for A-IoT,8
R1-2402363,sl-NumSubchannel,Sub-channel number determination,2
R1-2402516,MAC CE,Potential activation trigger mechanism,5
R1-2410551,Link Budget,Detailed analysis in Tables 5-18,18
R1-2405524,RedCap,Core topic for BWP and SSB configuration discussions.,25
R1-2403239,UL codebook,Non-coherent codebook for 3Tx transmissions,15
R1-2407859,CLI,gNB-to-gNB and UE-to-UE interference mitigation,42
R1-2400507,TCI Framework,Analysis of beam activation delays under unified TCI framework,15
R1-2403409,DCI Format 1_2,TCI state update without DL assignment,2
R1-2403807,SDT,Search space configuration for small data transmission,5
R1-2402833,SIB1,On-demand transmission mechanisms,12
R1-2404243,TS 38.213,Specifies Type 3 PH computation rules and restrictions for PUSCH-configured carriers.,4
38.214 CR,FR2-NTN,Core technical specifications for satellite communication,12
R1-2404815,DL sTRP/UL mTRP,Primary deployment scenario requiring asymmetric beam/power control handling,12
R1-2403155,SCI format,Consistency in 2nd-stage SCI format for retransmissions,3
R1-2410426,ID-X,Dataset-associated identifier for implicit model representation,9
R1-2406256,MLPMixer-1RB,AI model architecture used for RB-level channel prediction,3
R1-24xxxxx,SCell Dormancy,BWP switching procedures and validation rules,5
R1-2408936,PRACH,DCI-based resource allocation per SSB beam,12
R1-2407608,Carrier Cancellation,CW interference mitigation techniques,9
R1-2410050,CSI prediction,Main focus of the contribution,28
R1-2407185,Backscattering,Key communication mechanism for monostatic/bistatic topologies,18
R1-2401841,SRS,Clarification of time-overlapping restrictions,28
R1-2405692,TS 37.213,CAPC value alignment for SL-U channel access,5
R1-2402954,LP-WUS,Mechanisms for triggering PDCCH monitoring in connected mode,25
R1-2400162,CSI-RS,Port extension from 32 to 128 through resource aggregation,28
R1-2407552,PRACH,Time-domain resource configuration and SSB-RO mapping rules,32
R1-2405186,Type 3 Power Headroom Report,Discussed as alternative reporting mechanism for mTRP configurations,15
R1-2407931,Multi-TRP,Discussed regarding propagation delay differences between transmission points,8
R1-2402491,CSI-RS,Used for L1-RSRP measurements in model inference,15
R1-2400112,SSB,SSB-RO association patterns for handover scenarios,8
R1-2409411,SBFD,PRACH resource configuration in SBFD symbols,45
R1-2403081,RedCap,Collision handling in NTN environments,15
R1-2402204,38.214,Specifies SRS configuration rules for bandwidth aggregation,3
R1-2410472,PUCCH,Resource determination for HARQ-A/N multiplexing with CSI reports,8
R1-2407319,L1-RSRP,Core measurement quantity for beam/cell quality evaluation,32
R1-2404085,TS 38.214,Specification requiring CR updates for CP extension scenarios,7
R1-2400745,LP-WUS,"Proposals for configuration, monitoring, and UE behavior",15
R1-2408820,Gold sequence,Proposed for OFDM-based LP-WUS due to existing NR compatibility and correlation properties,15
S1-242527,TS 22.369,Baseline specification for Ambient IoT requirements,8
R1-2404053,CSI Prediction,Core discussion topic throughout document,142
R1-2401068,HARQ,Limits on parallel processes for transmission/reception,5
R1-2410555,OCC,Proposed for multiplexing up to 4 UEs via inter-slot or intra-symbol schemes.,45
R1-2408351,Pathloss Offset,"Proposal for [-12,60] dB range with 4dB steps",15
R1-2400515,XN Interface,Backhaul signaling for SSB activation requests,3
R1-2404547,CSI prediction,Core technical discussion throughout document,28
R1-2403534,PSFCH,Minimum time gap calculations,8
R1-2401676,PRACH,Configuration and validation in SBFD symbols,89
R1-2408841,Two-sided Models,Central to discussions on inter-vendor collaboration and LCM procedures.,12
R1-2408075,SSB,Beam association and QCL relationships,5
R1-2402132,RCS,Target reflection characteristics modeling,15
R1-2409587,CJT Calibration,Linkage mechanisms for delay offset compensation in joint/separate triggering.,18
R1-2400409,TS 38.214,Resource allocation procedures and measurement configurations,7
R1-2409665,DCI format 0_3,Bandwidth part indicator configuration,
R1-2408196,TR 38.901,Base channel model for extensions,15
R1-2402315,DMRS,DMRS port configuration conflicts between Rel-15 and Rel-18 implementations,15
R1-24xxxxx,TEI,Main agenda topic for Rel-19 enhancements,
CR-Form-v12.2,TS 38.133,Corrected specification in Section 5.1.3,1
R1-2402702,Sidelink Positioning,Support for dedicated resource pools and full sensing.,8
R1-2401761,msg1-RepetitionTimeOffsetROGroup,RRC parameter name alignment in TS 38.213,3
R1-2409225,TR38.901,Channel model validation,15
R1-2410392,PRDCH,Physical channel structure discussions with CRC attachment options,12
R1-2403471,MCCH-RNTI,Multicast control channel configuration in inactive state,5
R1-2410242,MAC CE,Candidate Cell TCI States Activation/Deactivation,
R1-2408525,SBFD,Discussed throughout as main technical focus,87
R1-2407544,Miller-8 Encoding,Used in D2R performance simulations,2
R1-2400539,SL PRS,Sidelink positioning procedure corrections in TS38.214,5
R1-2400736,OOK,Proposed as baseline DL modulation scheme supporting envelope detection,8
R1-2408290,PRS,DL positioning reference signals for measurements,15
R1-2409301,PUSCH,Waveform determination for scheduled transmissions,15
R1-2404918,Scheduling Request,Proposed as trigger mechanism for beam reports (Mode A/B),15
R1-2403557,38.214,Primary affected specification for parameter corrections,15
R1-2407866,MAC CE,Proposed as signaling method for on-demand SSB triggering,12
R1-2405580,UE capability,Reporting of KP parameter for timeline calculation,7
R1-2404735,DCI,Proposed for dynamic indication to skip measurement gaps via scheduling overlaps.,10
R1-2410210,SIB1,On-demand transmission mechanism using UL-WUS,27
R1-2410134,SSB,Time domain periodicity adaptation for PCell/SCell,42
R1-2405925,SSB Periodicity,Proposed extension for coverage ratio improvement,12
R1-2402462,MAC-CE,Pathloss offset update mechanism,5
R1-2404386,ConvLSTM,Used in AI/ML model structure for spatial-temporal feature capture,4
R1-2410493,LTM,Mobility procedure enhancements,25
R1-2403983,3Tx UL MIMO,Main focus of the contribution,27
R1-2406785,ZC sequence,Recommended overlay sequence for PAPR reduction and implementation reuse,15
R1-2401183,OOK-4,Proposed DL modulation scheme for Type 1 devices,7
R1-2408133,type0-PDCCH,Monitoring occasions after RAR reception,8
R1-2406226,MAC CE,Signaling mechanism for SSB triggering,15
R1-2404489,SSB,Time-domain adaptation proposals including periodicity extension and dynamic DCI-based configuration,28
R1-2403711,TS 38.331,Referenced for RRC parameter configurations,3
R1-2408453,LMF,Location Management Function handling network-side positioning models,28
R1-2405252,NR band n28,Target band for asymmetric 3MHz UL operation,4
R1-2408763,A-IoT,Main focus of the proposals,
R1-2401300,SIB19,Cell-specific Koffset configuration,2
R1-2409970,CSI-RS,Port scaling up to 128 ports with legacy resource constraints,28
R1-2410069,CBR,Congestion control parameter range alignment debate,
R1-2406837,CLI,Proposals for measurement and mitigation techniques,27
R1-2405618,PT-RS,Coherence conditions for 8Tx configurations,15
R1-2404469,QuaDRiGa,Referenced for cluster drifting implementation,1
R1-2403148,CSI Feedback Enhancement,Discussed as a key use case for two-sided AI/ML models,15
R1-2407173,SL PRS,Measurement configuration and reporting procedures,12
R1-2409021,Sounding Reference Signal,Power scaling rules for non-codebook usage,35
R1-2408796,C-DRX,Integration with LP-WUS monitoring configurations,18
R1-2400207,SBFD,Proposals for semi-static subband configuration and guardband indication,15
R1-2402892,C-DRX,Existing power saving mechanism being enhanced with LP-WUS,18
R1-2409996,MI-Option2,Model identification via dataset transfer and ID-X association.,8
R1-2402049,SIB1,On-demand transmission mechanisms for energy savings,42
R1-2409370,MAC-CE,Proposal to exclude MAC-CE from RS resource updates for Event-2 measurements,4
R1-2401114,SRS,Antenna switching and resource configuration,12
R1-2400666,Single-tone waveform,Proposed as preferred UL waveform due to interference resilience,12
R1-2408624,M-DCI MTRP,Clarification of beam resetting procedures,8
R1-2401692,SRS,Collision handling in unpaired/paired spectrum,25
R1-2409465,3TX UE,Codebook-based uplink transmission enhancements,42
R1-2409986,PRU,Ground truth generation for training data,19
R1-2406966,CSI-RS,Proposed as primary measurement RS for L1-SINR in mobility decisions,8
R1-2410381,MAC-CE,Proposed for dynamic RS resource updates in beam management,8
R1-2403416,DCI Format 2_3,SRS power control command signaling,8
R1-2406290,PRDCH,R2D physical channel design with three proposed formats,15
R1-2406199,TR 38.901,Baseline channel model for frequencies 0.5-100GHz,15
R1-240XXXX,TR38.769,Evaluation results and methodology documentation,15
R1-2409728,OCC,UL capacity enhancement through inter-slot/intra-symbol OCC,42
R1-2404381,PRACH,Mask index handling for repetition scenarios,12
R1-2402300,TS 38.214,Target specification for proposed text changes,4
R1-2409879,TXRU Mapping,Key variable in simulation experiments,15
R1-2401569,Functionality-Based LCM,Baseline LCM method compared with model-ID-based approaches.,32
R1-2407736,OOK,Used in clock-acquisition part design for chip duration determination,8
R1-2404636,Swerling Models,RCS fluctuation modeling,3
R1-2402076,Zadoff-Chu Sequence,Potential synchronization signal candidates,2
R1-2401210,CORESET0,Overlap analysis with UL subbands,8
R1-2406578,CLI,Discussed in guardband management and resource allocation,12
R1-2409181,STxMP,Proposed RRC parameter updates for multi-panel transmissions,15
R1-2401994,TDD-UL-DL-ConfigCommon,Base TDD configuration for SBFD symbols,12
R1-2404341,TS38.213,Referenced for PHR configuration requirements,2
R1-2406771,Ambient IoT,Main subject of evaluation for coverage and latency parameters,42
R1-2401170,TC-RNTI,DCI format 1_0 scheduling for Msg4 PDSCH,3
R1-2408601,Manchester coding,Proposed for line coding to maintain synchronization without midambles,2
R1-2409256,TA-Common,Debate about minimum value (0 vs. negative) for regenerative payload UL synchronization,45
R1-2404792,SBFD,Discussed throughout as the core technology for duplex operation enhancements.,45
R1-2405234,L1-RSRP,Quantization and differential reporting enhancements,8
38.213 CR 0644,CFRA,Clarifies beam alignment for msg2 reception,7
R1-2408157,DCI format 1_3,Used for multi-PDSCH scheduling with HARQ-ACK timing determination,12
R1-2406954,TS 38.212,NR multiplexing and channel coding,1
CR-XXXX,HARQ,HARQ feedback timing configuration for NTN UEs,8
R1-2404034,SSB,DL indication-based periodicity adaptation for idle/connected UEs,35
R1-2401059,Beam Group,Proposed solution for simultaneous beam transmission management,22
R1-2401740,TCI,Differentiation between Rel-15/16 and Rel-17 frameworks,15
R1-2404958,Reflection Amplifier,"Discussed for Device Type 2a amplification, including gain dependency on input power/frequency and stability considerations.",15
R1-2401620,CSI-RS,Simultaneous NZP-CSI-RS resource limitations,15
R1-2402952,OOK-4,Proposed for LP-WUS due to power efficiency and timing error robustness.,15
R1-2400113,InF-DH NLOS,Pathloss model for indoor factory deployment scenarios,3
R1-2405201,DCI,Suggested as potential indication mechanism for SSB transmission,4
R1-2408406,Zadoff-Chu sequences,SRS sequence construction for power indication,2
R1-2409216,Coverage Enhancement,Maintenance work items discussion,5
R1-2400499,PDCCH,Coverage enhancement through aggregation layer increases and repetition,15
R1-2401882,Carrier Aggregation,Inter-band CA prioritization rules,7
R1-2410606,2-step RACH,Power control parameter configuration issues,15
R4-2410600,NR-ARFCN,Assignment of NR-ARFCN 250,1
R1-2405588,SMa,Proposed suburban macro deployment scenario,15
R1-2405201,SSB,Proposed for dynamic transmission in SCells to reduce constant signaling,15
R1-2409616,OCC,Inter-slot OCC configurations for UE multiplexing,27
R1-2410248,Associated ID,Mechanism for preserving NW vendor proprietary information,7
R1-2403699,PDCCH Monitoring,Span-based capability restrictions and NR-DC configurations,12
R1-2401271,Beam Management,Core discussion topic for proposed enhancements,15
R1-2401211,SMTC,SS/PBCH Block Measurement Timing Configuration windows causing scheduling restrictions,4
R1-2405907,PRG,Resource allocation challenges in SBFD symbols,12
R1-2406869,3GPP TR 38.901,Channel model validation target,15
R1-2405831,CSI-RS,Measurement procedures across DL subbands,12
R1-2407634,LP-WUS,"Design proposals for payload encoding, bandwidth, and UE triggering.",25
R1-2405504,CSI Compression,Two-sided model use case for parameter exchange,12
R1-2406754,SSB,Impact of periodicity extension on initial access and measurements,15
R1-2410626,TR38.901,Referenced for indoor/outdoor channel models and minimum distance parameters,3
R1-2406735,LP-RSRP,Defined as the linear average of received power of LP-SS in OOK ON symbols.,5
R1-2408767,TPMI,Full power mode 2 operation for 8Tx codebook2 PUSCH,15
R1-2404871,OFDM,Alignment of R2D transmission boundaries with NR OFDM symbols,5
R1-2405790,DCI formats,Scheduling configurations,2
R1-2408516,PSBCH,Physical layer broadcast channel configuration,6
R1-2407867,Type 0 PDCCH,SIB1 scheduling monitoring,12
R1-2410648,TR 38.901,Used as baseline for stochastic channel modeling,12
R1-2409528,HD-FDD,Collision handling in NTN scenarios,
R1-2408648,Midamble,Synchronization maintenance in long D2R transmissions,12
R1-2404023,SBFD,Core technology for duplex enhancement in Rel-19,58
R1-2404790,TCI States,QCL assumptions for CORESETs and post-cell switch beam determination,15
R1-2405297,LNA,Discussed as component for improving receiver sensitivity in Device 2b architectures,4
R1-2408911,L1-RSRP,Differential reporting format discussion,15
R1-2401177,PRACH,Dynamic adaptation of random access resources,8
R1-2404115,Miller encoding,Evaluated for D2R transmission performance in multipath scenarios,9
R1-2408676,SSB,On-demand transmission mechanisms in SCells,47
R1-2402449,HARQ-ACK,Codebook generation and multiplexing in PUSCH repetitions,25
R1-2410574,CSI-RS,Impact on measurement frameworks and reporting procedures,22
R1-2406499,OOK,Receiver measurement methodology,15
R1-2407131,Manchester Coding,Line coding evaluation for R2D transmission reliability and SFO mitigation,12
R1-2400401,PRACH,RO activation/deactivation and SSB association flexibility,8
R1-2410068,SL-TOA,Measurement reporting mechanism,4
R1-2400909,Autoencoder,Used for compressing CSI in beam or spatial domains,15
R1-2410494,RRM,Measurement gap cancellation for XR traffic,15
R1-2408339,PRACH,Configuration of RACH occasions for UL TRPs,6
R1-2409591,Pathloss Offset,PL offset configuration for UL TRP power calculation,15
R1-2409716,DCI format 1_3,Proposed enhancements for mixed SCS scheduling and HARQ-ACK timing,15
R1-24xxxxx,Positioning Accuracy,Model performance monitoring metrics using LMF assistance data,18
R1-2403600,HARQ-ACK,Core subject of timeline requirement discussions,15
R1-2402436,S-SSB,Transmission procedures in non-anchor resources,8
R1-2401226,TCI State,Unified TCI framework for beam management,8
R1-2400100,TCI,Unified TCI framework application,15
R1-2410874,LEO-1200,Target orbit with 5.51dB DL CNR for 0dBi UE antenna,8
R1-2410697,TS 38.331,EarlyUL-SyncConfig-r18 configuration,3
R1-2402598,CORESET0,Configuration requirements for 12/15 PRB CORESET0,8
R1-2408340,Fresnel Zone,Type-2 EO size requirements,4
R1-2401769,LEO600km Set1-1 FR1,Reference satellite parameters for DL coverage evaluation,8
R1-2408123,SSB,Time-domain adaptation for connected mode UEs,28
R1-2401717,TR 38.835,Simulation framework reference,3
R1-2405629,Sounding Reference Signal,Configuration requirements for SRS resource sets,8
R1-2404581,L1/L2-Triggered Mobility,Cell switching procedure using MAC CE commands,8
R1-2401927,TEI18,CFR-related updates under Work Item TEI18 [RedCapMBS_Bcast],3
R1-240xxxx,Type2 Configured Grant Physical Uplink Shared Channel,Exclusion of first transmission from overriding scenarios,4
R1-2404212,Multi-TRP,Spatial consistency requirements,8
R1-2406671,NTN,Target deployment environment for the solutions,12
R1-240xxxx,CRC,Error detection mechanism for LP-WUS,15
R1-2400813,Guard Bands,"Used to relax LP-WUR filter requirements, reducing baseband power.",5
R1-2408141,Common Timing Advance (TA),TA-Common value configuration in regenerative payload scenarios,8
R1-2403631,Spatial Consistency Modeling,Needs validation for multi-TRP scenarios,4
R1-2406649,TDD-UL-DL-ConfigCommon,Used for legacy symbol direction alignment with SBFD subbands,12
R1-2409042,Positioning,FG41-4-8 component reporting requirements,4
R1-2409019,OCC,Main technical focus of the document,142
R2-2313951,BWP,Core subject of the LS regarding operation without restrictions,8
R1-2404244,Type 1 PH,Comparison with Type 3 PH reporting capabilities,4
R1-2410365,Doppler Shift,NTN impairment consideration,5
R1-2404416,Plane Wave,Far-field approximation vs spherical waves in near-field,3
R1-2404453,CLI,UE-to-UE interference management in SBFD operations,23
R1-2402060,SSB,Beam indication for PRACH transmission in CFRA,15
R1-2404554,Ambient IoT,Main subject of the evaluation document,42
R1-2404163,Sidelink,"Proposals on SLU prerequisites, PSFCH capability, and co-channel coexistence with LTE sidelink.",25
R1-2408914,Random Selection Resource Allocation,Resource pool configuration constraints,3
R1-2404066,CG PUSCH,Exclusion criteria from candidate PUSCH set,8
R1-2402130,Rayleigh Distance,Spatial stationarity threshold calculation,8
R1-2407826,TCI,Pre-activation requirements for inter-frequency scenarios,3
R1-2410018,Associated ID,Mechanism to ensure training/inference consistency,9
R1-2406820,TA,Pre-compensation for UL synchronization,4
R1-2408158,Beam Management,Discussed throughout the document as the primary use case,42
R1-2408938,MPL,Primary metric in link budget analysis across multiple deployment scenarios,28
R1-2404892,RFID,Comparison for collision resolution mechanisms,3
R1-2401735,TDL Channel Model,Used for backscatter link modeling in LLS assumptions,8
R1-2400773,Sounding Reference Signal,SRS resource configuration options for 3-port transmission,12
R1-2408768,SRS Antenna Switching,Proposed specifications for 3T3R/3T6R configurations using muted 4-port resources,15
R1-2409547,LP-WUS,Wake-up signal design and operation parameters,42
R1-2407899,3T6R SRS Antenna Switching,Proposed configuration using muted 4-port SRS resources,8
R1-2410083,NPSS/NSSS,DL synchronization procedures (Section 2.3).,10
R1-2403869,SSB,Used for SCell time/frequency synchronization and L1/L3 measurements,42
R1-2405272,SRS,Power control for two closed-loop adjustment states,15
R1-2407868,PRACH,Dynamic activation of additional RACH resources,12
R1-2401267,L1-RSRP,Key measurement for data collection,12
R1-2406929,CLI,Addressed in collision handling and measurement procedures,23
R1-2400765,fullpowerMode2,Full power transmission mode for Ng=2 antenna groups,8
R1-2401689,SSB,SSB-based measurement reporting conditions,8
R1-2405337,TS 38.213,Physical layer procedures specification,8
R1-2403655,FDD,Beam indication validation for FDD systems,2
R1-2406753,Beam Hopping,Feasibility for DL coverage enhancements and activity state management,10
R1-2409740,EO Type-2,Modeling large finite-dimension environmental objects,5
R1-2406721,RRC Signaling,Used for functionality configuration and dataset management,5
R1-2405397,NTN,Core maintenance subject for all technical corrections,28
R1-2408880,PRACH,Beam sweeping requirements for narrow-beam reception,6
R1-2403692,PRACH,Spatial/time-domain resource allocation and SSB-RO mapping separation.,18
R1-2408653,SSB,Adaptation mechanisms in time domain including periodicity adjustment and Cell DTX extension,42
R1-2403228,Multi-Slot Transmission,Inter-UE blocking avoidance mechanisms,5
R1-2402246,RFID C1Gen2,Referenced for synchronization and channel design principles,8
R1-2402051,MAC CE,Discussed as potential UL signaling container for beam reports,8
R1-2401611,TS 38.214,SL PRS reception procedure updates,15
R1-2402524,RedCap,Collision handling and TA mismatch resolution,15
R1-2408260,FR1,Licensed band FDD/TDD scheduling with mixed SCS,
R1-2400491,FDD Spectrum,Comparison of UL/DL spectrum allocation alternatives,35
R1-2408285,Radar Cross-Section,Core component of target channel modeling with polarization matrices,23
R1-2406672,Msg3 PUSCH,Excluded from enhancement scope due to initial access restrictions,
R1-2408169,ltm-InterFreq-r18,UE capability for inter-frequency LTM cell switch.,
R1-2405496,WUS,Discussed as potential UE-triggered mechanism for OD-SSB requests,12
R1-2405484,Type-II Codebook,Doppler-based refinements,28
R2-2313618,TS 38.211,Reference for subcarrier determination (clause 8.2.5),1
R1-2409812,Wake-up Delay,UE capability reporting for deep/ultra-deep sleep states,18
38.213,MAC CE,TCI state activation commands,3
R1-2406609,PRACH,Proposed as UL wake-up signal for SIB1 triggering,12
R1-2408083,PUCCH,Proposed as secondary channel for reliable beam reporting,12
R1-2410342,Type I SP Codebook,Baseline capability selection (Scheme A/B) and port support,12
R1-2406339,DCI 1_3,Multi-cell PDSCH scheduling mechanism,8
R1-2402413,2-step RA,RAN1 response to RAN2's recommendation on 2-step RA support,5
R1-2407450,PRACH,Validation of PRACH occasions for SSB-to-RO mapping in TDD,8
R1-2408206,LTE TBCC,Proposed as baseline channel coding for PDRCH,4
R1-2402560,PTRS-DMRS association,Mechanism for phase tracking reference signal mapping,8
R1-2409746,TCI States,Spatial relation management for UL transmissions,12
R1-2408195,CDL,Angle scaling corrections for phase continuity,15
R1-2404945,Msg3 PUSCH,Overlapping resolution with PUCCH/PUSCH,25
R1-2401476,CIR,Proposed as key measurement input for AI/ML models,4
R1-2402309,CPE,CPE duration determination for intra-COT transmissions,15
R1-2403016,SRS,Beam-sweeping and closed-loop power control adjustments,8
R1-2401569,Model Transfer,Discussed collaboration levels (Case y/z1-z5) and feasibility of standardized solutions.,45
R1-24xxxxx,DCI formats 0_3/1_3,Multi-cell scheduling mechanism,12
R1-2404988,SRS,Bandwidth aggregation collision handling in RRC_INACTIVE,12
R1-2409953,TR 38.901,Baseline channel model for ISAC enhancements,15
R1-2403340,PRACH,Handover procedures with repetition configurations,12
R1-2410053,MAC-CE,Discussed for RS configuration updates in Event 2,8
R1-2410242,PRACH,Transmission dropping rules for intra-band operations,
R1-2405890,MIMO,Rel-19 NR MIMO evolution objectives,8
R1-2408415,SSB,Adaptation in PCell/SCell and idle/inactive modes,15
R1-2404324,SIB19,Prioritized for reception over UL transmissions in collision scenarios,3
R1-2408345,LP-WUS,Wake-up signal design and operation,42
R1-2402588,MR,Main Receiver transition time considerations,8
R1-2403357,TS 38.212,Main specification being modified for parameter naming,15
R1-2406941,OOK-4,Waveform design with overlaid OFDM sequences,12
R1-2407474,Type-2 HARQ-ACK Codebook,Second sub-codebook NACK generation during BWP change,7
R1-2402425,HARQ-ACK,Overriding procedure in PUCCH/PUSCH scheduling,10
R1-247715,PEI,Comparison of wake-up indication mechanisms,18
R1-2401818,SS/PBCH block,PRB exclusion for punctured SSB resources,8
R1-2408255,LP-WUS,Core focus of contribution - discussed in all sections,42
R1-2402554,AI/ML positioning,Main focus of the document discussing various implementation cases,28
R1-2401035,DCI Format 0_3,Proposal to remove from specifications due to MC enhancement agreements,3
R1-2410366,NPSS/NSSS,Link level simulation requirements for detection performance,12
R1-2406223,OOK-4,Waveform candidate for LP-SS implementation,7
R1-2407179,CBGTI,Field size calculation for 8Tx UL MIMO,15
R1-2406605,R2D,Synchronization signal design and timing alignment,23
R1-2404026,LTE,Guard-band deployment scenarios,3
R1-2403180,SCell dormancy,Dormancy indication via DCI formats 0_3/1_3 for power savings,5
R4-2321728,PUSCH,Coherence requirements with SRS,8
R1-2408493,Uplink Transmitter Switching,Analyzed in combination with SRS-CS for RF tuning gaps and Tx state management.,8
R1-2406605,D2R,Frame structure with preamble/midamble/postamble,18
R1-2404972,SRS,Configuration challenges for 3TX UEs using 4-port resources,15
R1-2407572,TCI-State,Beam management procedure clarification in Clause 10.1,3
R1-2407453,PDCCH,PDCCH order triggering PRACH transmission,3
R1-2402576,LP-WUS,Power saving mechanism for connected mode UEs,45
R1-2407779,PHR,Power headroom reporting implications,5
R1-2402428,UL DAI,Validation for HARQ-ACK multiplexing decisions,18
R1-2400093,LP-WUS,Optimization for idle/inactive mode prioritized over connected mode,45
R1-2405500,SL PRS,Transmission/reception in shared/dedicated resource pools,6
R1-2401722,3GPP TS 38.214,Modified clause 5.2.2.5 for CSI reference resource definitions,5
R1-2400645,Delay Spread,Shared cluster modeling parameter,2
R1-2410590,Manchester Coding,Showed 3dB better performance than PIE encoding in R2D links,8
R1-2407115,CSI-RS,Proposed for beam management and channel acquisition,12
R1-2406328,SPS,SPS activation procedure and PDSCH reception,12
